,指数代码,指数简称,样本数,收盘点位,涨跌幅,PE滚动,成交量,成交额,总市值,自由流通市值
295,980006,GTCOM港股通100（港币）,100,1145.8057,-0.0391,,43756.10834,806.3706167583,178475.3378334863,105209.3030043033
296,980007,湾区新兴,100,3254.8952,-0.0395,,25408.8672,656.5938393238999,82173.24029342929,31943.6895492956
297,980008,湾区新兴(港币),100,3247.6545,-0.0395,,25408.8672,812.0474235487,101628.2282279807,39506.5972646365
298,980009,湾区制造,100,3649.2671,-0.0425,,17254.72604,445.9731655952,38403.239866784104,20949.078871396898
299,980010,湾区制造(港币),100,3641.1485,-0.0425,,17254.72604,551.5616430011,47495.5667248949,25908.9677939793
300,980011,湾区服务,100,1871.0606,-0.0335,,17425.53912,393.4166713376,88951.1775226373,16829.3250172663
301,980012,湾区服务(港币),100,1866.8998,-0.0335,,17425.53912,486.5597358565,110010.66492335711,20813.7619690746
302,980013,湾区医药,30,1991.4647,-0.0381,,5235.66924,71.9887603644,9333.3250270191,2888.9756423768
303,980014,湾区医药（港币）,30,2002.1572,-0.0381,,5235.66924,89.0327725952,11543.0691517221,3572.9626853440004
304,980015,疫苗生科,50,11966.7245,-0.0352,36.1278,6226.28611,246.99182207799998,26605.037936061803,12184.6002500492
305,980016,公卫健康,50,8514.2087,-0.0374,34.7277,7580.44624,306.30279213669996,29236.808556031297,14325.4508640973
306,980017,国证芯片,30,10167.5425,-0.0395,57.2198,4007.09601,228.66825929799998,18539.8285181483,10119.3986412673
307,980018,国证5G,0,3096.2455,-0.0456,29.2583,11996.29791,282.5505529811,22430.2350073723,11975.9663894721
308,980019,湾区海洋,30,1506.9301,-0.0213,,2288.38607,24.6583872025,7017.069533183299,838.4001256281
309,980020,湾区海洋(港币),30,1503.5783,-0.0213,,2288.38607,30.4963912563,8678.3802039377,1036.8959547404
310,980023,南山50,50,2263.0105,-0.0405,,10349.74269,275.4540885056,45639.8938014128,7322.7220375902
311,980024,南山50(港币),50,2275.16,-0.0405,,10349.74269,340.66941942209996,56445.310068118,9056.433819676899
312,980028,龙头家电,30,10750.4958,-0.0346,15.6584,3484.89264,93.3994269251,11799.935715850801,2108.7997423724
313,980029,新基建,50,4739.1164,-0.0433,20.7898,17332.73308,451.8360528865,45015.38759286,23415.3202869665
314,980030,消费电子,50,5733.0758,-0.0444,23.0752,16425.0095,306.4735086541,23451.718699457404,13701.6845853873
315,980031,国证白酒,0,102811.2319,-0.0423,37.9757,4721.68786,332.7030218855,43307.316377250296,5889.8456762263
316,980032,新能电池,30,15589.1212,-0.0488,71.5706,8136.76336,475.0751491374,31319.7714002755,13739.913021076201
317,980033,国产替代,50,9213.916,-0.0449,34.8447,14815.47007,424.7695459194,40490.0215961651,7429.2378053253005
318,980036,创新龙头,100,2766.0862,-0.0385,,23638.67799,561.0948653105,78836.93151737981,26580.3671706108
319,980037,创新龙头（港币）,100,2759.9274,-0.0385,,23638.67799,693.9381861259,97502.01843128461,32873.4651981095
