,trade_date,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_mv
0,2022-04-13,7.3092,4.6948,0.8061,0.3841,0.2977,5.8513,5.8513,1868101.0934
1,2022-04-12,7.2804,4.6763,0.8029,0.3826,0.2965,5.8744,5.8744,1860746.3646
2,2022-04-11,7.2996,4.6886,0.805,0.3836,0.2973,5.859,5.859,1865649.5171
3,2022-04-08,7.4914,4.8118,0.8262,0.3937,0.3051,5.709,5.709,1914681.0419
4,2022-04-07,7.3955,4.7502,0.8156,0.3886,0.3012,5.783,5.783,1890165.2795
5,2022-04-06,7.4435,4.781,0.8209,0.3912,0.3032,5.7457,5.7457,1902423.1607
6,2022-04-01,6.9063,4.436,0.7617,0.3629,0.2813,6.1926,6.1926,1765134.8914
7,2022-03-31,6.868,4.4113,0.7574,0.3609,0.2797,6.2272,6.2272,1755328.5864
8,2022-03-30,6.7816,4.3559,0.7479,0.3564,0.2762,6.3065,6.3065,1733264.4003
9,2022-03-29,6.6473,4.2696,0.7331,0.3493,0.2707,6.4339,6.4339,1698942.3329
10,2022-03-28,6.6953,4.3004,0.7384,0.3518,0.2727,6.3878,6.3878,1711200.2141
11,2022-03-25,6.609,4.245,0.7289,0.3473,0.2692,6.4713,6.4713,1689136.028
12,2022-03-24,6.6665,4.282,0.7352,0.3503,0.2715,6.4154,6.4154,1703845.4854
13,2022-03-23,6.6857,4.2943,0.7373,0.3513,0.2723,6.397,6.397,1708748.6379
14,2022-03-22,6.7049,4.3066,0.7395,0.3523,0.2731,6.3787,6.3787,1713651.7904
15,2022-03-21,6.609,4.245,0.7289,0.3473,0.2692,6.4713,6.4713,1689136.028
16,2022-03-18,6.7145,4.3128,0.7405,0.3528,0.2735,6.3696,6.3696,1716103.3666
17,2022-03-17,6.5898,4.2327,0.7268,0.3463,0.2684,6.4901,6.4901,1684232.8755
18,2022-03-16,6.4075,4.1561,0.7245,0.3367,0.2637,6.6747,6.6747,1637652.927
19,2022-03-15,6.2445,4.0503,0.7061,0.3281,0.257,6.849,6.849,1595976.1309
20,2022-03-14,6.8104,4.4174,0.77,0.3579,0.2803,6.2799,6.2799,1740619.129
21,2022-03-11,7.031,4.5605,0.795,0.3695,0.2894,6.0828,6.0828,1797005.3825
22,2022-03-10,7.0886,4.5978,0.8015,0.3725,0.2918,6.0334,6.0334,1811714.8399
23,2022-03-09,6.9447,4.5045,0.7852,0.3649,0.2858,6.1584,6.1584,1774941.1963
24,2022-03-08,7.0886,4.5978,0.8015,0.3725,0.2918,6.0334,6.0334,1811714.8399
25,2022-03-07,7.3859,4.7907,0.8351,0.3881,0.304,5.7905,5.7905,1887713.7033
26,2022-03-04,7.4339,4.8218,0.8405,0.3906,0.306,5.7532,5.7532,1899971.5845
27,2022-03-03,7.5202,4.8778,0.8503,0.3952,0.3095,5.6871,5.6871,1922035.7706
28,2022-03-02,7.3667,4.7783,0.833,0.3871,0.3032,5.8056,5.8056,1882810.5508
29,2022-03-01,7.2996,4.7347,0.8254,0.3836,0.3004,5.859,5.859,1865649.5171
30,2022-02-28,7.1461,4.6352,0.808,0.3755,0.2941,5.9848,5.9848,1826424.2973
31,2022-02-25,7.0982,4.6041,0.8026,0.373,0.2921,6.0253,6.0253,1814166.4161
32,2022-02-24,7.0694,4.5854,0.7993,0.3715,0.291,6.0498,6.0498,1806811.6874
33,2022-02-23,7.3092,4.7409,0.8264,0.3841,0.3008,5.8513,5.8513,1868101.0934
34,2022-02-22,7.4147,4.8094,0.8384,0.3896,0.3052,5.768,5.768,1895068.432
35,2022-02-21,7.5778,4.9152,0.8568,0.3982,0.3119,5.6439,5.6439,1936745.228
36,2022-02-18,7.3763,4.7845,0.834,0.3876,0.3036,5.798,5.798,1885262.127
37,2022-02-17,7.1365,4.629,0.8069,0.375,0.2937,5.9929,5.9929,1823972.7211
38,2022-02-16,7.1749,4.6538,0.8113,0.377,0.2953,5.9608,5.9608,1833779.026
39,2022-02-15,6.9543,4.5107,0.7863,0.3654,0.2862,6.1499,6.1499,1777392.7726
40,2022-02-14,7.0214,4.5543,0.7939,0.369,0.289,6.0911,6.0911,1794553.8062
41,2022-02-11,7.1845,4.6601,0.8123,0.3775,0.2957,5.9529,5.9529,1836230.6023
42,2022-02-10,7.2325,4.6912,0.8178,0.3801,0.2977,5.9134,5.9134,1848488.4835
43,2022-02-09,7.1557,4.6414,0.8091,0.376,0.2945,5.9768,5.9768,1828875.8735
44,2022-02-08,7.1749,4.6538,0.8113,0.377,0.2953,5.9608,5.9608,1833779.026
45,2022-02-07,7.0214,4.5543,0.7939,0.369,0.289,6.0911,6.0911,1794553.8062
