,trade_date,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_mv
0,2022-04-13,77.0421,,2.2426,1.4765,1.213,0.1422,0.1422,137256.5672
1,2022-04-12,80.1107,,2.3319,1.5353,1.2613,0.1368,0.1368,142723.4006
2,2022-04-11,78.9052,,2.2969,1.5122,1.2424,0.1389,0.1389,140575.716
3,2022-04-08,79.8915,,2.3256,1.5311,1.2579,0.1372,0.1372,142332.9125
4,2022-04-07,81.9737,,2.3862,1.571,1.2907,0.1337,0.1337,146042.5494
5,2022-04-06,84.6039,,2.4627,1.6214,1.3321,0.1295,0.1295,150728.4066
6,2022-04-01,80.0011,,2.3288,1.5332,1.2596,0.137,0.137,142528.1565
7,2022-03-31,84.2751,,2.4532,1.6151,1.3269,0.13,0.13,150142.6745
8,2022-03-30,80.549,,2.3447,1.5437,1.2682,0.1361,0.1361,143504.3768
9,2022-03-29,81.7545,,2.3798,1.5668,1.2872,0.134,0.134,145652.0613
10,2022-03-28,82.8504,,2.4117,1.5878,1.3045,0.1323,0.1323,147604.5018
11,2022-03-25,82.4121,,2.3989,1.5794,1.2976,0.133,0.133,146823.5256
12,2022-03-24,82.6313,,2.4053,1.5836,1.301,0.1326,0.1326,147214.0137
13,2022-03-23,82.8504,,2.4117,1.5878,1.3045,0.1323,0.1323,147604.5018
14,2022-03-22,84.6039,,2.4627,1.6214,1.3321,0.1295,0.1295,150728.4066
15,2022-03-21,86.4669,,2.517,1.6571,1.3614,0.1267,0.1267,154047.5555
16,2022-03-18,84.1655,,2.45,1.613,1.3252,0.1302,0.1302,149947.4304
17,2022-03-17,82.8504,,2.4117,1.5878,1.3045,0.1323,0.1323,147604.5018
18,2022-03-16,81.9737,,2.3862,1.571,1.2907,0.1337,0.1337,146042.5494
19,2022-03-15,74.5216,,2.1692,1.4282,1.1733,0.1471,0.1471,132765.954
20,2022-03-14,77.6997,,2.2618,1.4891,1.2234,0.141,0.141,138428.0315
21,2022-03-11,78.9052,,2.2969,1.5122,1.2424,0.1389,0.1389,140575.716
22,2022-03-10,77.4805,,2.2554,1.4849,1.2199,0.1414,0.1414,138037.5434
23,2022-03-09,76.7134,,2.233,1.4702,1.2078,0.1429,0.1429,136670.835
24,2022-03-08,77.6997,,2.2618,1.4891,1.2234,0.141,0.141,138428.0315
25,2022-03-07,80.7682,,2.3511,1.5479,1.2717,0.1357,0.1357,143894.8649
26,2022-03-04,81.4258,,2.3702,1.5605,1.282,0.1346,0.1346,145066.3292
27,2022-03-03,81.8641,,2.383,1.5689,1.2889,0.1339,0.1339,145847.3054
28,2022-03-02,82.3025,,2.3957,1.5773,1.2958,0.1332,0.1332,146628.2816
29,2022-03-01,81.9737,,2.3862,1.571,1.2907,0.1337,0.1337,146042.5494
30,2022-02-28,79.4531,,2.3128,1.5227,1.251,0.1379,0.1379,141551.9363
31,2022-02-25,79.7819,,2.3224,1.529,1.2562,0.1374,0.1374,142137.6684
32,2022-02-24,78.0285,,2.2713,1.4954,1.2285,0.1404,0.1404,139013.7636
33,2022-02-23,80.2203,,2.3351,1.5374,1.2631,0.1366,0.1366,142918.6446
34,2022-02-22,79.1244,,2.3032,1.5164,1.2458,0.1385,0.1385,140966.2041
35,2022-02-21,80.0011,,2.3288,1.5332,1.2596,0.137,0.137,142528.1565
36,2022-02-18,79.8915,,2.3256,1.5311,1.2579,0.1372,0.1372,142332.9125
37,2022-02-17,79.4531,,2.3128,1.5227,1.251,0.1379,0.1379,141551.9363
38,2022-02-16,80.2203,,2.3351,1.5374,1.2631,0.1366,0.1366,142918.6446
39,2022-02-15,77.2613,,2.249,1.4807,1.2165,0.1418,0.1418,137647.0553
40,2022-02-14,76.4942,,2.2267,1.466,1.2044,0.1433,0.1433,136280.3469
41,2022-02-11,72.9873,,2.1246,1.3988,1.1492,0.1502,0.1502,130032.5373
42,2022-02-10,74.3024,,2.1629,1.424,1.1699,0.1475,0.1475,132375.4659
43,2022-02-09,75.1791,,2.1884,1.4408,1.1837,0.1458,0.1458,133937.4183
44,2022-02-08,75.0695,,2.1852,1.4387,1.182,0.146,0.146,133742.1743
45,2022-02-07,72.8777,,2.1214,1.3967,1.1474,0.1504,0.1504,129837.2933
46,2022-01-28,74.0832,,2.1565,1.4198,1.1664,0.1479,0.1479,131984.9778
47,2022-01-27,69.042,,2.0097,1.3232,1.0871,0.1587,0.1587,123003.7515
48,2022-01-26,72.1106,,2.0991,1.382,1.1354,0.152,0.152,128470.5849
49,2022-01-25,71.0147,,2.0672,1.361,1.1181,0.1543,0.1543,126518.1444
50,2022-01-24,74.3024,,2.1629,1.424,1.1699,0.1475,0.1475,132375.4659
51,2022-01-21,76.7134,,2.233,1.4702,1.2078,0.1429,0.1429,136670.835
52,2022-01-20,75.5079,,2.198,1.4471,1.1889,0.1451,0.1451,134523.1505
