,trade_date,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_mv
0,2022-04-13,61.6979,61.6979,1.3397,1.6452,1.6452,0.4027,0.4027,377358.7775
1,2022-04-12,63.0229,63.0229,1.3684,1.6805,1.6805,0.3942,0.3942,385463.1271
2,2022-04-11,62.9401,62.9401,1.3666,1.6783,1.6783,0.3947,0.3947,384956.6052
3,2022-04-08,64.4308,64.4308,1.399,1.718,1.718,0.3856,0.3856,394073.9985
4,2022-04-07,65.0933,65.0933,1.4134,1.7357,1.7357,0.3817,0.3817,398126.1733
5,2022-04-06,66.1699,66.1699,1.4368,1.7644,1.7644,0.3755,0.3755,404710.9574
6,2022-04-01,64.762,64.762,1.4062,1.7269,1.7269,0.3836,0.3836,396100.0859
7,2022-03-31,64.6792,64.6792,1.4044,1.7247,1.7247,0.3841,0.3841,395593.5641
8,2022-03-30,64.348,64.348,1.3972,1.7158,1.7158,0.3861,0.3861,393567.4767
9,2022-03-29,63.3542,63.3542,1.3756,1.6893,1.6893,0.3922,0.3922,387489.2145
10,2022-03-28,64.762,64.762,1.4062,1.7269,1.7269,0.3836,0.3836,396100.0859
11,2022-03-25,64.6792,64.6792,1.4044,1.7247,1.7247,0.3841,0.3841,395593.5641
12,2022-03-24,64.6792,64.6792,1.4044,1.7247,1.7247,0.3841,0.3841,395593.5641
13,2022-03-23,65.1761,65.1761,1.4152,1.7379,1.7379,0.3812,0.3812,398632.6952
14,2022-03-22,65.9215,65.9215,1.4314,1.7578,1.7578,0.3769,0.3769,403191.3918
15,2022-03-21,66.0043,66.0043,1.4332,1.76,1.76,0.3764,0.3764,403697.9137
16,2022-03-18,66.2527,66.2527,1.4386,1.7666,1.7666,0.375,0.375,405217.4792
17,2022-03-17,66.0043,66.0043,1.4332,1.76,1.76,0.3764,0.3764,403697.9137
18,2022-03-16,107.3716,42.8674,1.4153,1.8974,1.7335,0.3797,0.3797,400152.2607
