,trade_date,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_mv
0,2022-04-13,4.5779,4.3377,0.5298,1.8841,1.7004,5.9435,5.9435,9561074.6713
1,2022-04-12,4.5848,4.3441,0.5305,1.8869,1.7029,5.9347,5.9347,9575281.3202
2,2022-04-11,4.5507,4.3119,0.5266,1.8729,1.6902,5.979,5.979,9504248.076
3,2022-04-08,4.5984,4.357,0.5321,1.8925,1.7079,5.9171,5.9171,9603694.6179
4,2022-04-07,4.5848,4.3441,0.5305,1.8869,1.7029,5.9347,5.9347,9575281.3202
5,2022-04-06,4.6664,4.4215,0.54,1.9205,1.7332,5.8309,5.8309,9745761.1063
6,2022-04-01,4.5847,4.3441,0.5305,1.8869,1.7029,5.9347,5.9347,9575273.4007
7,2022-03-31,4.5167,4.2797,0.5227,1.8589,1.6776,6.0241,6.0241,9433207.0298
8,2022-03-30,4.4487,4.2152,0.5148,1.8309,1.6523,6.1162,6.1162,9291140.6588
9,2022-03-29,4.4011,4.1701,0.5093,1.8113,1.6347,6.1823,6.1823,9191694.1992
10,2022-03-28,4.4147,4.183,0.5109,1.8169,1.6397,6.1633,6.1633,9220107.4734
11,2022-03-25,4.4351,4.2023,0.5132,1.8253,1.6473,6.1349,6.1349,9262727.3846
12,2022-03-24,4.4215,4.1894,0.5117,1.8197,1.6422,6.1538,6.1538,9234314.1105
13,2022-03-23,4.4351,4.2023,0.5132,1.8253,1.6473,6.1349,6.1349,9262727.3846
14,2022-03-22,4.4623,4.2281,0.5164,1.8365,1.6574,6.0975,6.0975,9319553.933
15,2022-03-21,4.4215,4.1894,0.5117,1.8197,1.6422,6.1538,6.1538,9234314.1105
16,2022-03-18,4.4555,4.2216,0.5156,1.8337,1.6549,6.1068,6.1068,9305347.2959
17,2022-03-17,4.4147,4.183,0.5109,1.8169,1.6397,6.1633,6.1633,9220107.4734
18,2022-03-16,4.4147,4.183,0.5109,1.8169,1.6397,6.1633,6.1633,9220107.4734
19,2022-03-15,4.3807,4.1507,0.5069,1.8029,1.6271,6.2111,6.2111,9149074.2879
20,2022-03-14,4.4963,4.2603,0.5203,1.8505,1.67,6.0514,6.0514,9390587.1185
21,2022-03-11,4.5507,4.3119,0.5266,1.8729,1.6902,5.979,5.979,9504240.2152
22,2022-03-10,4.5303,4.2925,0.5242,1.8645,1.6827,6.006,6.006,9461620.3039
23,2022-03-09,4.5099,4.2732,0.5219,1.8561,1.6751,6.0331,6.0331,9419000.3927
24,2022-03-08,4.6256,4.3828,0.5353,1.9037,1.718,5.8823,5.8823,9660513.2232
25,2022-03-07,4.714,4.4666,0.5455,1.9401,1.7509,5.772,5.772,9845199.5054
26,2022-03-04,4.7684,4.5181,0.5518,1.9625,1.7711,5.7061,5.7061,9958852.6022
27,2022-03-03,4.782,4.531,0.5534,1.9681,1.7761,5.6899,5.6899,9987265.8764
28,2022-03-02,4.7684,4.4306,0.5518,1.9625,1.8217,5.7061,5.7061,9958852.6022
29,2022-03-01,4.7752,4.4369,0.5526,1.9653,1.8243,5.698,5.698,9973059.2393
30,2022-02-28,4.7548,4.418,0.5502,1.9569,1.8165,5.7224,5.7224,9930439.328
31,2022-02-25,4.782,4.4432,0.5534,1.9681,1.8269,5.6899,5.6899,9987265.8764
32,2022-02-24,4.782,4.4432,0.5534,1.9681,1.8269,5.6899,5.6899,9987265.8764
33,2022-02-23,4.85,4.5064,0.5612,1.9961,1.8529,5.6101,5.6101,10129332.2473
34,2022-02-22,4.8704,4.5254,0.5636,2.0045,1.8607,5.5865,5.5865,10171952.1586
35,2022-02-21,4.884,4.538,0.5652,2.0101,1.8659,5.571,5.571,10200365.4328
36,2022-02-18,4.8977,4.5507,0.5668,2.0157,1.8711,5.5555,5.5555,10228778.707
37,2022-02-17,4.8704,4.5254,0.5636,2.0045,1.8607,5.5865,5.5865,10171952.1586
38,2022-02-16,4.884,4.538,0.5652,2.0101,1.8659,5.571,5.571,10200365.4328
39,2022-02-15,4.8772,4.5317,0.5644,2.0073,1.8633,5.5788,5.5788,10186158.7957
40,2022-02-14,4.9045,4.557,0.5675,2.0185,1.8737,5.5478,5.5478,10242985.3441
41,2022-02-11,4.9725,4.6202,0.5754,2.0465,1.8997,5.4719,5.4719,10385051.715
42,2022-02-10,4.9589,4.6076,0.5738,2.0409,1.8945,5.4869,5.4869,10356638.4408
43,2022-02-09,4.9249,4.576,0.5699,2.0269,1.8815,5.5248,5.5248,10285605.2553
44,2022-02-08,4.9317,4.5823,0.5707,2.0297,1.8841,5.5172,5.5172,10299811.8924
45,2022-02-07,4.8432,4.5001,0.5605,1.9933,1.8503,5.6179,5.6179,10115125.6102
46,2022-01-28,4.782,4.4432,0.5534,1.9681,1.8269,5.6899,5.6899,9987265.8764
47,2022-01-27,4.8228,4.4812,0.5581,1.9849,1.8425,5.6417,5.6417,10072505.6989
48,2022-01-26,4.8568,4.5128,0.562,1.9989,1.8555,5.6022,5.6022,10143538.8844
49,2022-01-25,4.8432,4.5001,0.5605,1.9933,1.8503,5.6179,5.6179,10115125.6102
50,2022-01-24,4.9113,4.5633,0.5683,2.0213,1.8763,5.5401,5.5401,10257191.9811
51,2022-01-21,4.9385,4.5886,0.5715,2.0325,1.8867,5.5096,5.5096,10314018.5295
52,2022-01-20,4.9725,4.6202,0.5754,2.0465,1.8997,5.4719,5.4719,10385051.715
53,2022-01-19,4.9385,4.5886,0.5715,2.0325,1.8867,5.5096,5.5096,10314018.5295
54,2022-01-18,4.9317,4.5823,0.5707,2.0297,1.8841,5.5172,5.5172,10299811.8924
55,2022-01-17,4.9045,4.557,0.5675,2.0185,1.8737,5.5478,5.5478,10242985.3441
56,2022-01-14,4.8977,4.5507,0.5668,2.0157,1.8711,5.5555,5.5555,10228778.707
57,2022-01-13,4.9589,4.6076,0.5738,2.0409,1.8945,5.4869,5.4869,10356638.4408
58,2022-01-12,4.9589,4.6076,0.5738,2.0409,1.8945,5.4869,5.4869,10356638.4408
59,2022-01-11,4.9589,4.6076,0.5738,2.0409,1.8945,5.4869,5.4869,10356638.4408
60,2022-01-10,4.9589,4.6076,0.5738,2.0409,1.8945,5.4869,5.4869,10356638.4408
61,2022-01-07,4.9453,4.5949,0.5723,2.0353,1.8893,5.502,5.502,10328225.1666
62,2022-01-06,4.8909,4.5444,0.566,2.0129,1.8685,5.5632,5.5632,10214572.0699
63,2022-01-05,4.9181,4.5696,0.5691,2.0241,1.8789,5.5325,5.5325,10271398.6182
64,2022-01-04,4.8772,4.5317,0.5644,2.0073,1.8633,5.5788,5.5788,10186150.1006
65,2021-12-31,4.85,4.5064,0.5612,1.9961,1.8529,5.6101,5.6101,10129323.6008
66,2021-12-30,4.8568,4.5128,0.562,1.9989,1.8555,5.6022,5.6022,10143530.2257
67,2021-12-29,4.8636,4.5191,0.5628,2.0017,1.8581,5.5944,5.5944,10157736.8507
68,2021-12-28,4.8636,4.5191,0.5628,2.0017,1.8581,5.5944,5.5944,10157736.8507
69,2021-12-27,4.8568,4.5128,0.562,1.9989,1.8555,5.6022,5.6022,10143530.2257
70,2021-12-24,4.8568,4.5128,0.562,1.9989,1.8555,5.6022,5.6022,10143530.2257
71,2021-12-23,4.8704,4.5254,0.5636,2.0045,1.8607,5.5866,5.5866,10171943.4757
72,2021-12-22,4.8636,4.5191,0.5628,2.0017,1.8581,5.5944,5.5944,10157736.8507
73,2021-12-21,4.8772,4.5317,0.5644,2.0073,1.8633,5.5788,5.5788,10186150.1006
74,2021-12-20,4.8568,4.5128,0.562,1.9989,1.8555,5.6022,5.6022,10143530.2257
75,2021-12-17,4.8636,4.5191,0.5628,2.0017,1.8581,5.5944,5.5944,10157736.8507
76,2021-12-16,4.8772,4.5317,0.5644,2.0073,1.8633,5.5788,5.5788,10186150.1006
77,2021-12-15,4.8636,4.5191,0.5628,2.0017,1.8581,5.5944,5.5944,10157736.8507
78,2021-12-14,4.8704,4.5254,0.5636,2.0045,1.8607,5.5866,5.5866,10171943.4757
79,2021-12-13,4.884,4.538,0.5652,2.0101,1.8659,5.571,5.571,10200356.7256
80,2021-12-10,4.9045,4.557,0.5675,2.0185,1.8737,5.5478,5.5478,10242976.6005
81,2021-12-09,4.9113,4.5633,0.5683,2.0213,1.8763,5.5401,5.5401,10257183.2255
82,2021-12-08,4.8976,4.5507,0.5668,2.0157,1.8711,5.5555,5.5555,10228769.9755
83,2021-12-07,4.8976,4.5507,0.5668,2.0157,1.8711,5.5555,5.5555,10228769.9755
84,2021-12-06,4.8772,4.5317,0.5644,2.0073,1.8633,5.5788,5.5788,10186150.1006
85,2021-12-03,4.884,4.538,0.5652,2.0101,1.8659,5.571,5.571,10200356.7256
86,2021-12-02,4.8908,4.5444,0.566,2.0129,1.8685,5.5632,5.5632,10214563.3506
87,2021-12-01,4.8908,4.5444,0.566,2.0129,1.8685,5.5632,5.5632,10214563.3506
88,2021-11-30,4.8636,4.5191,0.5628,2.0017,1.8581,5.5944,5.5944,10157736.8507
89,2021-11-29,4.8772,4.5317,0.5644,2.0073,1.8633,5.5788,5.5788,10186150.1006
90,2021-11-26,4.8908,4.5444,0.566,2.0129,1.8685,5.5632,5.5632,10214563.3506
91,2021-11-25,4.9113,4.5633,0.5683,2.0213,1.8763,5.5401,5.5401,10257183.2255
92,2021-11-24,4.9181,4.5696,0.5691,2.0241,1.8789,5.5325,5.5325,10271389.8504
93,2021-11-23,4.9317,4.5823,0.5707,2.0297,1.8841,5.5172,5.5172,10299803.1004
94,2021-11-22,4.9113,4.5633,0.5683,2.0213,1.8763,5.5401,5.5401,10257183.2255
95,2021-11-19,4.9317,4.5823,0.5707,2.0297,1.8841,5.5172,5.5172,10299803.1004
96,2021-11-18,4.9045,4.557,0.5675,2.0185,1.8737,5.5478,5.5478,10242976.6005
97,2021-11-17,4.9249,4.576,0.5699,2.0269,1.8815,5.5248,5.5248,10285596.4754
98,2021-11-16,4.9453,4.5949,0.5723,2.0353,1.8893,5.502,5.502,10328216.3503
99,2021-11-15,4.9521,4.6012,0.573,2.0381,1.8919,5.4945,5.4945,10342422.9752
100,2021-11-12,4.9453,4.5949,0.5723,2.0353,1.8893,5.502,5.502,10328216.3503
101,2021-11-11,4.9521,4.6012,0.573,2.0381,1.8919,5.4945,5.4945,10342422.9752
102,2021-11-10,4.9181,4.5696,0.5691,2.0241,1.8789,5.5325,5.5325,10271384.2775
103,2021-11-09,4.9249,4.576,0.5699,2.0269,1.8815,5.5248,5.5248,10285590.8948
104,2021-11-08,4.9113,4.5633,0.5683,2.0213,1.8763,5.5401,5.5401,10257177.6603
105,2021-11-05,4.9317,4.5823,0.5707,2.0297,1.8841,5.5172,5.5172,10299797.5121
106,2021-11-04,4.9317,4.5823,0.5707,2.0297,1.8841,5.5172,5.5172,10299797.5121
107,2021-11-03,4.9521,4.6012,0.573,2.0381,1.8919,5.4945,5.4945,10342417.3638
108,2021-11-02,4.9589,4.6076,0.5738,2.0409,1.8945,5.4869,5.4869,10356623.9811
109,2021-11-01,5.0065,4.6518,0.5793,2.0605,1.9127,5.4347,5.4347,10456070.3019
110,2021-10-29,4.9589,4.6076,0.5738,2.0409,1.8945,5.4869,5.4869,10356623.9811
111,2021-10-28,4.9793,4.6265,0.5762,2.0493,1.9023,5.4644,5.4644,10399243.8329
