,trade_date,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_mv
0,2022-04-13,30.142,30.142,7.6353,4.7757,4.7757,1.3988,1.3988,8342883.0
1,2022-04-12,30.357,30.357,7.6897,4.8097,4.8097,1.3889,1.3889,8402400.0
2,2022-04-11,30.0281,30.0281,7.6064,4.7576,4.7576,1.4041,1.4041,8311374.0
3,2022-04-08,31.1918,31.1918,7.9012,4.942,4.942,1.3517,1.3517,8633466.0
4,2022-04-07,44.5905,30.2643,7.6662,6.013,4.795,1.3931,1.3931,8376726.0
5,2022-04-06,45.1683,30.6564,7.7656,6.0909,4.8572,1.3753,1.3753,8485257.0
6,2022-04-01,46.1311,31.3099,7.9311,6.2207,4.9607,1.3466,1.3466,8666142.0
7,2022-03-31,45.1496,30.6437,7.7624,6.0883,4.8552,1.3759,1.3759,8481756.0
8,2022-03-30,46.4417,31.5207,7.9845,6.2626,4.9941,1.3376,1.3376,8724492.0
9,2022-03-29,45.4789,30.8672,7.819,6.1327,4.8906,1.3659,1.3659,8543607.0
10,2022-03-28,45.9634,31.196,7.9023,6.1981,4.9427,1.3515,1.3515,8634633.0
11,2022-03-25,46.0628,31.2635,7.9194,6.2115,4.9534,1.3486,1.3486,8653305.0
12,2022-03-24,47.0878,31.9592,8.0956,6.3497,5.0636,1.3193,1.3193,8845860.0
13,2022-03-23,47.2742,32.0857,8.1276,6.3748,5.0836,1.3141,1.3141,8880870.0
14,2022-03-22,47.2742,32.0857,8.1276,6.3748,5.0836,1.3141,1.3141,8880870.0
15,2022-03-21,43.9196,29.8089,7.5509,5.9225,4.7229,1.4144,1.4144,8250690.0
16,2022-03-18,44.106,29.9354,7.5829,5.9476,4.7429,1.4085,1.4085,8285700.0
17,2022-03-17,43.7271,29.6782,7.5178,5.8965,4.7022,1.4207,1.4207,8214513.0
18,2022-03-16,41.031,27.8483,7.0543,5.533,4.4123,1.514,1.514,7708035.0
19,2022-03-15,39.5587,26.8491,6.8012,5.3344,4.2539,1.5704,1.5704,7431456.0
20,2022-03-14,41.9318,28.4597,7.2091,5.6544,4.5091,1.4815,1.4815,7877250.0
21,2022-03-11,44.2302,30.0197,7.6043,5.9644,4.7563,1.4045,1.4045,8309040.0
22,2022-03-10,45.3795,30.7997,7.8019,6.1193,4.8799,1.3689,1.3689,8524935.0
23,2022-03-09,46.4542,31.5291,7.9867,6.2643,4.9954,1.3373,1.3373,8726826.0
24,2022-03-08,49.0011,33.2578,8.4245,6.6077,5.2693,1.2677,1.2677,9205296.0
25,2022-03-07,51.0449,34.6449,8.7759,6.8833,5.4891,1.217,1.217,9589239.0
26,2022-03-04,52.6539,35.737,9.0525,7.1003,5.6621,1.1798,1.1798,9891492.0
27,2022-03-03,50.4423,37.0433,9.2885,6.8021,5.8288,1.2315,1.2315,9476040.0
28,2022-03-02,53.6602,39.4064,9.8811,7.236,6.2006,1.1577,1.1577,10080546.0
29,2022-03-01,51.5543,37.8599,9.4933,6.952,5.9573,1.205,1.205,9684933.0
30,2022-02-28,50.9828,37.4402,9.388,6.8749,5.8912,1.2185,1.2185,9577569.0
31,2022-02-25,50.2933,36.9338,9.2611,6.782,5.8115,1.2352,1.2352,9448032.0
32,2022-02-24,49.7031,36.5004,9.1524,6.7024,5.7434,1.2498,1.2498,9337167.0
33,2022-02-23,50.5976,37.1574,9.3171,6.823,5.8467,1.2277,1.2277,9505215.0
34,2022-02-22,50.6163,37.1711,9.3206,6.8255,5.8489,1.2273,1.2273,9508716.0
35,2022-02-21,51.5108,37.828,9.4853,6.9461,5.9522,1.206,1.206,9676764.0
36,2022-02-18,50.4983,37.0844,9.2988,6.8096,5.8352,1.2302,1.2302,9486543.0
37,2022-02-17,50.5045,37.0889,9.3,6.8104,5.836,1.23,1.23,9487710.0
38,2022-02-16,51.9457,38.1473,9.5653,7.0048,6.0025,1.1959,1.1959,9758454.0
39,2022-02-15,51.2748,37.6546,9.4418,6.9143,5.925,1.2115,1.2115,9632418.0
40,2022-02-14,51.0511,37.4904,9.4006,6.8842,5.8991,1.2168,1.2168,9590406.0
41,2022-02-11,51.4176,37.7595,9.4681,6.9336,5.9415,1.2082,1.2082,9659259.0
42,2022-02-10,52.7346,38.7267,9.7106,7.1112,6.0937,1.178,1.178,9906663.0
43,2022-02-09,53.4304,39.2376,9.8387,7.205,6.1741,1.1627,1.1627,10037367.0
44,2022-02-08,53.4739,39.2696,9.8467,7.2109,6.1791,1.1617,1.1617,10045536.0
45,2022-02-07,54.7287,40.1911,10.0778,7.3801,6.3241,1.1351,1.1351,10281270.0
46,2022-01-28,54.3249,39.8946,10.0035,7.3256,6.2774,1.1435,1.1435,10205415.0
47,2022-01-27,51.9333,38.1382,9.5631,7.0031,6.0011,1.1962,1.1962,9756120.0
48,2022-01-26,50.958,37.422,9.3835,6.8716,5.8884,1.2191,1.2191,9572901.0
49,2022-01-25,50.6908,37.2258,9.3343,6.8356,5.8575,1.2255,1.2255,9522720.0
50,2022-01-24,52.7036,38.7039,9.7049,7.107,6.0901,1.1787,1.1787,9900828.0
51,2022-01-21,51.0698,37.5041,9.4041,6.8867,5.9013,1.2164,1.2164,9593907.0
52,2022-01-20,52.1072,38.2659,9.5951,7.0266,6.0212,1.1922,1.1922,9788796.0
53,2022-01-19,52.4302,38.5032,9.6546,7.0701,6.0585,1.1848,1.1848,9849480.0
54,2022-01-18,50.6287,37.1802,9.3228,6.8272,5.8503,1.227,1.227,9511050.0
55,2022-01-17,51.6475,37.9283,9.5104,6.9646,5.968,1.2028,1.2028,9702438.0
56,2022-01-14,51.6786,37.9512,9.5162,6.9688,5.9716,1.2021,1.2021,9708273.0
57,2022-01-13,52.5731,38.6081,9.6809,7.0894,6.075,1.1816,1.1816,9876321.0
58,2022-01-12,53.6354,39.3882,9.8765,7.2326,6.1977,1.1582,1.1582,10075878.0
59,2022-01-11,53.4676,39.265,9.8456,7.21,6.1784,1.1618,1.1618,10044369.0
60,2022-01-10,53.4925,39.2833,9.8502,7.2134,6.1812,1.1613,1.1613,10049037.0
61,2022-01-07,52.8651,38.8225,9.7346,7.1288,6.1087,1.1751,1.1751,9931170.0
62,2022-01-06,53.1943,39.0643,9.7953,7.1732,6.1468,1.1678,1.1678,9993021.0
63,2022-01-05,53.1446,39.0278,9.7861,7.1665,6.141,1.1689,1.1689,9983685.0
64,2022-01-04,54.064,39.703,9.9554,7.2904,6.2473,1.149,1.149,10156401.0
65,2021-12-31,55.3189,40.6245,10.1865,7.4596,6.3923,,1.123,10392135.0
66,2021-12-30,55.2878,40.6017,10.1808,7.4555,6.3887,,1.1236,10386300.0
67,2021-12-29,52.5296,38.5761,9.6729,7.0835,6.07,,1.1826,9868152.0
68,2021-12-28,52.511,38.5625,9.6694,7.081,6.0678,,1.183,9864651.0
69,2021-12-27,52.5172,38.567,9.6706,7.0818,6.0685,,1.1829,9865818.0
70,2021-12-24,54.3125,39.8854,10.0012,7.3239,6.276,,1.1438,10203081.0
71,2021-12-23,54.6666,40.1455,10.0664,7.3717,6.3169,,1.1364,10269600.0
72,2021-12-22,54.6728,40.15,10.0675,7.3725,6.3176,,1.1362,10270767.0
73,2021-12-21,53.7223,39.452,9.8925,7.2444,6.2078,,1.1563,10092216.0
74,2021-12-20,52.4613,38.526,9.6603,7.0743,6.0621,,1.1841,9855315.0
75,2021-12-17,54.5175,40.036,10.0389,7.3516,6.2997,,1.1395,10241592.0
76,2021-12-16,54.7722,40.223,10.0858,7.3859,6.3291,,1.1342,10289439.0
77,2021-12-15,53.8776,39.5661,9.9211,7.2653,6.2257,,1.153,10121391.0
78,2021-12-14,56.1016,41.1993,10.3306,7.5652,6.4827,,1.1073,10539177.0
79,2021-12-13,57.3813,42.1391,10.5663,7.7378,6.6306,,1.0826,10779579.0
80,2021-12-10,57.1079,41.9383,10.5159,7.7009,6.599,,1.0878,10728231.0
81,2021-12-09,56.437,41.4456,10.3924,7.6104,6.5215,,1.1007,10602195.0
82,2021-12-08,53.9211,39.598,9.9291,7.2712,6.2308,,1.1521,10129560.0
83,2021-12-07,52.6787,38.6856,9.7003,7.1036,6.0872,,1.1792,9896160.0
84,2021-12-06,51.1692,37.5771,9.4224,6.9001,5.9128,,1.214,9612579.0
85,2021-12-03,53.7596,39.4794,9.8994,7.2494,6.2121,,1.1555,10099218.0
86,2021-12-02,54.1448,39.7623,9.9703,7.3013,6.2566,,1.1473,10171572.0
87,2021-12-01,54.7598,40.2139,10.0835,7.3843,6.3277,,1.1344,10287105.0
88,2021-11-30,54.7411,40.2002,10.0801,7.3817,6.3255,,1.1348,10283604.0
89,2021-11-29,56.5302,41.5141,10.4096,7.623,6.5323,,1.0989,10619700.0
90,2021-11-26,57.5055,42.2303,10.5891,7.7545,6.645,,1.0803,10802919.0
91,2021-11-25,58.7045,43.1108,10.8099,7.9162,6.7835,,1.0582,11028150.0
92,2021-11-24,59.2635,43.5213,10.9129,7.9916,6.8481,,1.0482,11133180.0
93,2021-11-23,56.7042,41.6418,10.4416,7.6465,6.5524,,1.0955,10652376.0
94,2021-11-22,57.1017,41.9338,10.5148,7.7001,6.5983,,1.0879,10727064.0
95,2021-11-19,59.0151,43.3389,10.8671,7.9581,6.8194,,1.0526,11086500.0
96,2021-11-18,56.7601,41.6829,10.4519,7.654,6.5588,,1.0945,10662879.0
97,2021-11-17,58.1578,42.7093,10.7093,7.8425,6.7203,,1.0681,10925454.0
98,2021-11-16,58.5678,43.0104,10.7848,7.8978,6.7677,,1.0607,11002476.0
99,2021-11-15,58.9157,43.2659,10.8488,7.9447,6.8079,,1.0544,11067828.0
