,trade_date,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_mv
0,2022-04-13,28.171,42.6873,2.8357,2.3221,2.1937,1.0965,1.0965,284498.4
1,2022-04-12,28.2328,42.7809,2.8419,2.3272,2.1985,1.0941,1.0941,285122.3
2,2022-04-11,27.8374,42.1818,2.8021,2.2946,2.1677,1.1096,1.1096,281129.34
3,2022-04-08,27.2196,41.2457,2.7399,2.2437,2.1196,1.1348,1.1348,274890.34
4,2022-04-07,27.9856,42.4065,2.817,2.3068,2.1793,1.1038,1.1038,282626.7
5,2022-04-06,28.5169,43.2116,2.8705,2.3506,2.2206,1.0832,1.0832,287992.24
6,2022-04-01,28.2451,42.7997,2.8431,2.3282,2.1995,1.0936,1.0936,285247.08
7,2022-03-31,28.3934,43.0243,2.858,2.3404,2.211,1.0879,1.0879,286744.44
8,2022-03-30,28.4057,43.0431,2.8593,2.3415,2.212,1.0874,1.0874,286869.22
9,2022-03-29,28.1957,42.7248,2.8381,2.3241,2.1956,1.0955,1.0955,284747.96
10,2022-03-28,28.171,42.6873,2.8357,2.3221,2.1937,1.0965,1.0965,284498.4
11,2022-03-25,28.4181,43.0618,2.8605,2.3425,2.2129,1.087,1.087,286994.0
12,2022-03-24,27.825,42.1631,2.8008,2.2936,2.1668,1.1101,1.1101,281004.56
13,2022-03-23,27.9486,42.3503,2.8133,2.3038,2.1764,1.1052,1.1052,282252.36
14,2022-03-22,28.171,42.6873,2.8357,2.3221,2.1937,1.0965,1.0965,284498.4
15,2022-03-21,28.4552,43.1179,2.8643,2.3455,2.2158,1.0855,1.0855,287368.34
16,2022-03-18,27.4173,41.5453,2.7598,2.26,2.135,1.1266,1.1266,276886.82
17,2022-03-17,27.3061,41.3768,2.7486,2.2508,2.1263,1.1312,1.1312,275763.8
18,2022-03-16,27.2072,41.227,2.7386,2.2427,2.1186,1.1353,1.1353,274765.56
19,2022-03-15,26.6759,40.4219,2.6852,2.1989,2.0773,1.1579,1.1579,269400.02
20,2022-03-14,27.825,42.1631,2.8008,2.2936,2.1668,1.1101,1.1101,281004.56
21,2022-03-11,28.4181,43.0618,2.8605,2.3425,2.2129,1.087,1.087,286994.0
22,2022-03-10,28.0969,42.575,2.8282,2.316,2.1879,1.0994,1.0994,283749.72
23,2022-03-09,28.0598,42.5188,2.8245,2.3129,2.185,1.1008,1.1008,283375.38
24,2022-03-08,28.7641,43.586,2.8954,2.371,2.2399,1.0739,1.0739,290487.84
25,2022-03-07,28.8382,43.6983,2.9028,2.3771,2.2457,1.0711,1.0711,291236.52
26,2022-03-04,30.4939,46.2072,3.0695,2.5136,2.3746,1.013,1.013,307957.04
27,2022-03-03,30.185,45.7391,3.0384,2.4881,2.3505,1.0233,1.0233,304837.54
28,2022-03-02,30.1973,45.7578,3.0396,2.4891,2.3515,1.0229,1.0229,304962.32
29,2022-03-01,29.9626,45.4021,3.016,2.4698,2.3332,1.0309,1.0309,302591.5
30,2022-02-28,29.9255,45.3459,3.0123,2.4667,2.3303,1.0322,1.0322,302217.16
31,2022-02-25,30.0738,45.5706,3.0272,2.479,2.3419,1.0271,1.0271,303714.52
32,2022-02-24,30.1603,45.7017,3.0359,2.4861,2.3486,1.0242,1.0242,304587.98
33,2022-02-23,30.8027,46.6752,3.1006,2.539,2.3986,1.0028,1.0028,311076.54
34,2022-02-22,30.3456,45.9825,3.0545,2.5014,2.363,1.0179,1.0179,306459.68
35,2022-02-21,30.8522,46.7501,3.1055,2.5431,2.4025,1.0012,1.0012,311575.66
36,2022-02-18,30.6298,46.4131,3.0832,2.5248,2.3852,1.0085,1.0085,309329.62
37,2022-02-17,30.778,46.6378,3.0981,2.537,2.3967,1.0036,1.0036,310826.98
