,trade_date,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_mv
0,2022-04-13,25.4003,25.4003,1.2382,1.624,1.624,0.6729,0.6729,313124.4738
1,2022-04-12,26.0499,26.0499,1.2698,1.6656,1.6656,0.6562,0.6562,321131.6945
2,2022-04-11,24.7166,24.7166,1.2049,1.5803,1.5803,0.6916,0.6916,304695.8204
3,2022-04-08,24.8533,24.8533,1.2115,1.5891,1.5891,0.6878,0.6878,306381.5511
4,2022-04-07,24.6482,24.6482,1.2015,1.576,1.576,0.6935,0.6935,303852.9551
5,2022-04-06,25.2978,25.2978,1.2332,1.6175,1.6175,0.6757,0.6757,311860.1758
6,2022-04-01,24.4773,24.4773,1.1932,1.565,1.565,0.6983,0.6983,301745.7917
7,2022-03-31,25.0926,25.0926,1.2232,1.6044,1.6044,0.6812,0.6812,309331.5798
8,2022-03-30,43.034,24.4817,1.1916,1.8063,1.5629,0.6993,0.6993,301324.3591
9,2022-03-29,43.2145,24.5844,1.1966,1.8138,1.5695,0.6964,0.6964,302588.6571
10,2022-03-28,43.5155,24.7556,1.205,1.8265,1.5804,0.6916,0.6916,304695.8204
11,2022-03-25,41.77,23.7627,1.1566,1.7532,1.517,0.7205,0.7205,292474.273
12,2022-03-24,40.8672,23.2491,1.1316,1.7153,1.4842,0.7364,0.7364,286152.7829
13,2022-03-23,40.9876,23.3175,1.135,1.7204,1.4886,0.7342,0.7342,286995.6483
14,2022-03-22,41.2885,23.4887,1.1433,1.733,1.4995,0.7289,0.7289,289102.8116
15,2022-03-21,40.3857,22.9751,1.1183,1.6951,1.4668,0.7452,0.7452,282781.3216
16,2022-03-18,40.3255,22.9409,1.1166,1.6926,1.4646,0.7463,0.7463,282359.8889
17,2022-03-17,38.5199,21.9137,1.0666,1.6168,1.399,0.7813,0.7813,269716.9088
18,2022-03-16,38.7005,22.0164,1.0716,1.6244,1.4056,0.7776,0.7776,270981.2068
19,2022-03-15,37.6773,21.4343,1.0433,1.5814,1.3684,0.7987,0.7987,263816.8514
20,2022-03-14,40.3857,22.9751,1.1183,1.6951,1.4668,0.7452,0.7452,282781.3216
21,2022-03-11,43.9368,24.9953,1.2166,1.8441,1.5957,0.6849,0.6849,307645.8491
22,2022-03-10,45.6822,25.9883,1.2649,1.9174,1.6591,0.6588,0.6588,319867.3965
23,2022-03-09,43.5757,24.7899,1.2066,1.829,1.5826,0.6906,0.6906,305117.2531
24,2022-03-08,42.4923,24.1736,1.1766,1.7835,1.5433,0.7082,0.7082,297531.465
25,2022-03-07,43.9368,24.9953,1.2166,1.8441,1.5957,0.6849,0.6849,307645.8491
26,2022-03-04,44.3581,25.235,1.2283,1.8618,1.611,0.6784,0.6784,310595.8778
27,2022-03-03,44.7794,25.4747,1.2399,1.8795,1.6263,0.672,0.672,313545.9065
28,2022-03-02,44.3581,25.235,1.2283,1.8618,1.611,0.6784,0.6784,310595.8778
29,2022-03-01,44.2979,25.2008,1.2266,1.8593,1.6088,0.6793,0.6793,310174.4451
30,2022-02-28,44.5387,25.3377,1.2333,1.8694,1.6176,0.6757,0.6757,311860.1758
31,2022-02-25,44.2979,25.2008,1.2266,1.8593,1.6088,0.6793,0.6793,310174.4451
32,2022-02-24,42.6728,24.2763,1.1816,1.7911,1.5498,0.7052,0.7052,298795.763
33,2022-02-23,43.5757,24.7899,1.2066,1.829,1.5826,0.6906,0.6906,305117.2531
34,2022-02-22,43.4553,32.5255,1.2145,1.8239,1.6731,0.6925,0.6925,304274.3877
35,2022-02-21,44.2377,33.1112,1.2364,1.8568,1.7032,0.6803,0.6803,309753.0125
36,2022-02-18,43.2747,32.3904,1.2095,1.8164,1.6661,0.6954,0.6954,303010.0897
37,2022-02-17,43.1543,32.3003,1.2061,1.8113,1.6615,0.6974,0.6974,302167.2244
38,2022-02-16,43.2747,32.3904,1.2095,1.8164,1.6661,0.6954,0.6954,303010.0897
39,2022-02-15,42.6127,31.8948,1.191,1.7886,1.6406,0.7062,0.7062,298374.3304
40,2022-02-14,42.6728,31.9399,1.1927,1.7911,1.643,0.7052,0.7052,298795.763
41,2022-02-11,43.0942,32.2552,1.2044,1.8088,1.6592,0.6983,0.6983,301745.7917
42,2022-02-10,44.1775,33.0661,1.2347,1.8543,1.7009,0.6812,0.6812,309331.5798
43,2022-02-09,44.3581,33.2013,1.2398,1.8618,1.7078,0.6784,0.6784,310595.8778
44,2022-02-08,42.6728,31.9399,1.1927,1.7911,1.643,0.7052,0.7052,298795.763
45,2022-02-07,42.4923,31.8047,1.1876,1.7835,1.636,0.7082,0.7082,297531.465
46,2022-01-28,40.0848,30.0028,1.1203,1.6825,1.5433,0.7508,0.7508,280674.1582
47,2022-01-27,40.5663,30.3632,1.1338,1.7027,1.5618,0.7418,0.7418,284045.6196
48,2022-01-26,41.3487,30.9488,1.1557,1.7355,1.592,0.7278,0.7278,289524.2443
49,2022-01-25,40.3255,30.183,1.1271,1.6926,1.5526,0.7463,0.7463,282359.8889
50,2022-01-24,41.1682,30.8136,1.1506,1.7279,1.585,0.731,0.731,288259.9463
51,2022-01-21,42.8534,32.075,1.1977,1.7987,1.6499,0.7022,0.7022,300060.061
52,2022-01-20,43.3349,32.4354,1.2112,1.8189,1.6684,0.6944,0.6944,303431.5224
53,2022-01-19,43.5155,32.5706,1.2162,1.8265,1.6754,0.6916,0.6916,304695.8204
54,2022-01-18,44.1775,33.0661,1.2347,1.8543,1.7009,0.6812,0.6812,309331.5798
55,2022-01-17,43.2145,32.3453,1.2078,1.8138,1.6638,0.6964,0.6964,302588.6571
56,2022-01-14,42.8534,32.075,1.1977,1.7987,1.6499,0.7022,0.7022,300060.061
57,2022-01-13,43.5757,32.6156,1.2179,1.829,1.6777,0.6906,0.6906,305117.2531
58,2022-01-12,44.5988,33.3814,1.2465,1.8719,1.7171,0.6748,0.6748,312281.6085
59,2022-01-11,44.659,33.4265,1.2482,1.8745,1.7194,0.6739,0.6739,312703.0411
60,2022-01-10,44.1775,33.0661,1.2347,1.8543,1.7009,0.6812,0.6812,309331.5798
61,2022-01-07,44.3581,33.2013,1.2398,1.8618,1.7078,0.6784,0.6784,310595.8778
62,2022-01-06,45.3211,33.922,1.2667,1.9023,1.7449,0.664,0.664,317338.8005
63,2022-01-05,45.5017,34.0572,1.2717,1.9098,1.7519,0.6614,0.6614,318603.0985
64,2022-01-04,47.7888,35.7691,1.3357,2.0058,1.8399,0.6297,0.6297,334617.54
65,2021-12-31,46.4647,34.778,1.2987,1.9503,1.7889,0.6477,0.6477,325346.0212
66,2021-12-30,44.1775,33.0661,1.2347,1.8543,1.7009,0.6812,0.6812,309331.5798
67,2021-12-29,42.5525,31.8498,1.1893,1.786,1.6383,0.7072,0.7072,297952.8977
68,2021-12-28,43.3349,32.4354,1.2112,1.8189,1.6684,0.6944,0.6944,303431.5224
69,2021-12-27,45.0202,33.6968,1.2583,1.8896,1.7333,0.6684,0.6684,315231.6372
70,2021-12-24,44.7794,33.5166,1.2515,1.8795,1.7241,0.672,0.672,313545.9065
71,2021-12-23,43.8766,32.8409,1.2263,1.8416,1.6893,0.6859,0.6859,307224.4164
72,2021-12-22,42.8534,32.075,1.1977,1.7987,1.6499,0.7022,0.7022,300060.061
73,2021-12-21,43.997,32.931,1.2297,1.8467,1.6939,0.684,0.684,308067.2818
74,2021-12-20,43.2747,32.3904,1.2095,1.8164,1.6661,0.6954,0.6954,303010.0897
75,2021-12-17,46.585,34.8681,1.302,1.9553,1.7936,0.646,0.646,326188.8866
76,2021-12-16,45.5017,34.0572,1.2717,1.9098,1.7519,0.6614,0.6614,318603.0985
77,2021-12-15,45.0202,33.6968,1.2583,1.8896,1.7333,0.6684,0.6684,315231.6372
78,2021-12-14,42.733,31.9849,1.1944,1.7936,1.6453,0.7042,0.7042,299217.1957
79,2021-12-13,42.6728,31.9399,1.1927,1.7911,1.643,0.7052,0.7052,298795.763
80,2021-12-10,42.7932,32.03,1.196,1.7962,1.6476,0.7032,0.7032,299638.6284
81,2021-12-09,42.9738,32.1651,1.2011,1.8037,1.6545,0.7003,0.7003,300902.9264
82,2021-12-08,42.7932,32.03,1.196,1.7962,1.6476,0.7032,0.7032,299638.6284
83,2021-12-07,42.8534,32.075,1.1977,1.7987,1.6499,0.7022,0.7022,300060.061
84,2021-12-06,42.6728,31.9399,1.1927,1.7911,1.643,0.7052,0.7052,298795.763
85,2021-12-03,43.0942,32.2552,1.2044,1.8088,1.6592,0.6983,0.6983,301745.7917
86,2021-12-02,41.8302,31.3092,1.1691,1.7557,1.6105,0.7194,0.7194,292895.7057
87,2021-12-01,42.8534,32.075,1.1977,1.7987,1.6499,0.7022,0.7022,300060.061
88,2021-11-30,40.8672,30.5884,1.1422,1.7153,1.5734,0.7364,0.7364,286152.7829
89,2021-11-29,41.4089,30.9938,1.1573,1.738,1.5943,0.7267,0.7267,289945.677
90,2021-11-26,40.5663,30.3632,1.1338,1.7027,1.5618,0.7418,0.7418,284045.6196
91,2021-11-25,40.9876,30.6785,1.1456,1.7204,1.5781,0.7342,0.7342,286995.6483
92,2021-11-24,40.7469,30.4983,1.1388,1.7103,1.5688,0.7386,0.7386,285309.9176
93,2021-11-23,39.9644,29.9127,1.117,1.6774,1.5387,0.753,0.753,279831.2929
94,2021-11-22,39.7839,29.7775,1.1119,1.6698,1.5317,0.7564,0.7564,278566.9949
95,2021-11-19,40.3857,30.228,1.1287,1.6951,1.5549,0.7452,0.7452,282781.3216
96,2021-11-18,40.2654,30.1379,1.1254,1.69,1.5503,0.7474,0.7474,281938.4562
97,2021-11-17,40.9876,30.6785,1.1456,1.7204,1.5781,0.7342,0.7342,286995.6483
98,2021-11-16,40.9274,30.6334,1.1439,1.7178,1.5758,0.7353,0.7353,286574.2156
99,2021-11-15,41.5293,31.0839,1.1607,1.7431,1.5989,0.7246,0.7246,290788.5423
100,2021-11-12,37.7375,28.2458,1.0547,1.5839,1.4529,0.7974,0.7974,264238.2841
101,2021-11-11,36.8347,27.5701,1.0295,1.5461,1.4182,0.817,0.817,257916.794
102,2021-11-10,36.955,27.6602,1.0329,1.5511,1.4228,0.8143,0.8143,258759.6594
103,2021-11-09,37.8579,28.3359,1.0581,1.589,1.4576,0.7949,0.7949,265081.1494
104,2021-11-08,37.3162,27.9305,1.043,1.5663,1.4367,0.8065,0.8065,261288.2554
105,2021-11-05,37.4967,28.0656,1.048,1.5738,1.4437,0.8026,0.8026,262552.5534
106,2021-11-04,40.0246,29.9577,1.1187,1.6799,1.541,0.7519,0.7519,280252.7256
107,2021-11-03,37.918,28.381,1.0598,1.5915,1.4599,0.7937,0.7937,265502.5821
108,2021-11-02,39.4227,29.5072,1.1018,1.6547,1.5178,0.7634,0.7634,276038.3989
109,2021-11-01,42.3719,31.7146,1.1843,1.7785,1.6314,0.7102,0.7102,296688.5997
110,2021-10-29,43.6358,34.7352,1.2396,1.8315,1.7705,0.6897,0.6897,305538.6858
111,2021-10-28,44.4785,35.4059,1.2635,1.8669,1.8047,0.6766,0.6766,311438.7431
112,2021-10-27,45.5017,36.2204,1.2926,1.9098,1.8462,0.6614,0.6614,318603.0985
113,2021-10-26,45.0202,35.8371,1.2789,1.8896,1.8267,0.6684,0.6684,315231.6372
114,2021-10-25,43.8766,34.9268,1.2464,1.8416,1.7803,0.6859,0.6859,307224.4164
115,2021-10-22,42.9738,34.2081,1.2208,1.8037,1.7436,0.7003,0.7003,300902.9264
116,2021-10-21,43.5757,34.6873,1.2379,1.829,1.7681,0.6906,0.6906,305117.2531
117,2021-10-20,41.7098,33.202,1.1849,1.7507,1.6924,0.7215,0.7215,292052.8403
118,2021-10-19,38.5801,30.7107,1.096,1.6193,1.5654,0.78,0.78,270138.3415
