,date,open,high,low,close,volume
0,2021-02-04,101.99,109.9,97.23,102.31,10957240
1,2021-02-05,103.0,104.79,99.71,100.69,1716740
2,2021-02-08,101.2,101.86,100.0,100.18,1097900
3,2021-02-09,100.03,104.0,99.53,103.0,708330
4,2021-02-10,101.51,104.52,101.51,102.07,347380
5,2021-02-18,102.66,105.45,101.46,102.11,293910
6,2021-02-19,102.1,103.8,101.7,103.21,231850
7,2021-02-22,103.26,108.55,102.85,108.08,484760
8,2021-02-23,107.6,112.6,105.2,107.96,442820
9,2021-02-24,107.9,108.41,106.29,107.07,99140
10,2021-02-25,107.07,110.9,106.23,108.12,259260
11,2021-02-26,108.12,108.89,105.0,107.03,179820
12,2021-03-01,107.16,108.72,106.02,107.38,197480
13,2021-03-02,107.39,108.25,104.51,104.9,152290
14,2021-03-03,104.91,107.39,104.9,106.5,135960
15,2021-03-04,105.71,106.99,105.7,105.71,117600
16,2021-03-05,105.71,106.78,104.68,106.0,97800
17,2021-03-08,105.51,107.2,105.33,105.37,80350
18,2021-03-09,105.37,106.0,102.6,104.76,132300
19,2021-03-10,104.88,106.62,104.01,105.01,82730
20,2021-03-11,105.0,106.3,105.0,105.11,49890
21,2021-03-12,104.95,104.95,104.12,104.5,30430
22,2021-03-15,104.5,104.5,103.0,103.41,25590
23,2021-03-16,103.4,105.0,103.1,103.52,53710
24,2021-03-17,103.5,104.23,103.12,103.9,35090
25,2021-03-18,103.9,110.6,103.52,106.16,340180
26,2021-03-19,106.16,107.91,105.99,106.61,72330
27,2021-03-22,106.61,108.51,106.61,108.41,111500
28,2021-03-23,108.61,110.0,107.5,109.04,78580
29,2021-03-24,108.5,109.0,106.0,106.29,61170
30,2021-03-25,106.35,107.5,105.51,106.66,71470
31,2021-03-26,106.5,107.9,106.49,107.26,146650
32,2021-03-29,107.26,107.26,105.9,106.64,34380
33,2021-03-30,106.64,106.64,104.58,105.86,91370
34,2021-03-31,105.06,107.1,104.8,105.76,143970
35,2021-04-01,105.76,108.9,105.45,108.2,689360
36,2021-04-02,108.89,119.2,108.49,113.29,1085900
37,2021-04-06,111.02,114.5,109.3,112.74,249630
38,2021-04-07,112.74,113.89,110.81,111.1,92220
39,2021-04-08,110.66,112.2,109.3,110.38,91850
40,2021-04-09,109.3,111.2,108.62,109.51,177770
41,2021-04-12,109.51,111.0,107.01,107.86,69930
42,2021-04-13,107.86,107.99,106.0,106.57,50490
43,2021-04-14,106.4,108.51,106.03,108.01,51940
44,2021-04-15,107.58,108.5,107.1,107.16,25990
45,2021-04-16,108.43,108.43,107.1,107.91,54630
46,2021-04-19,107.22,108.65,107.22,108.43,40670
47,2021-04-20,108.03,108.43,105.61,106.23,196080
48,2021-04-21,106.19,125.02,106.03,107.41,1202180
49,2021-04-22,109.0,122.4,108.5,114.47,7765900
50,2021-04-23,121.0,121.88,115.51,119.26,4837290
51,2021-04-26,149.0,153.0,128.96,136.51,24352280
52,2021-04-27,129.9,130.0,118.5,120.46,17020660
53,2021-04-28,122.9,135.01,119.2,120.07,23982230
54,2021-04-29,120.1,130.68,116.56,121.26,21389270
55,2021-04-30,130.0,139.58,122.93,129.03,41295080
56,2021-05-06,121.0,122.21,115.9,118.46,9238840
57,2021-05-07,123.0,125.66,119.47,122.04,13658470
58,2021-05-10,123.3,125.0,116.27,117.19,6268630
59,2021-05-11,117.61,117.99,113.5,116.55,5105120
60,2021-05-12,115.7,119.68,115.7,117.87,5367280
61,2021-05-13,116.5,123.0,116.22,117.33,6568160
62,2021-05-14,118.6,121.2,116.81,118.18,4417900
63,2021-05-17,118.98,119.99,115.02,115.6,1848040
64,2021-05-18,115.92,116.87,114.7,116.16,1369490
65,2021-05-19,116.89,117.38,115.2,116.56,1373330
66,2021-05-20,117.0,124.31,115.02,118.3,3949880
67,2021-05-21,118.3,119.87,116.51,116.83,1383430
68,2021-05-24,116.12,120.3,116.12,117.6,1275620
69,2021-05-25,117.63,120.3,117.2,117.6,1495750
70,2021-05-26,117.69,118.3,116.71,117.22,622090
71,2021-05-27,117.17,117.29,115.08,115.67,1400590
72,2021-05-28,115.8,117.5,115.36,115.55,657270
73,2021-05-31,125.0,125.5,117.36,121.36,10208920
74,2021-06-01,123.5,124.8,118.82,121.37,3542030
75,2021-06-02,122.01,125.98,120.51,122.69,3425840
76,2021-06-03,122.82,127.68,121.85,123.43,2757890
77,2021-06-04,123.54,135.0,123.54,132.78,10630730
78,2021-06-07,132.0,134.0,127.75,128.26,2592830
79,2021-06-08,128.0,140.6,127.02,131.6,9679400
80,2021-06-09,131.11,133.45,128.61,130.72,1973480
81,2021-06-10,129.5,133.06,129.01,131.22,1823550
82,2021-06-11,130.9,131.8,125.87,126.9,1020020
83,2021-06-15,125.26,127.55,124.5,124.54,605950
84,2021-06-16,124.6,125.27,121.5,122.52,509460
85,2021-06-17,123.43,123.65,122.27,123.15,435660
86,2021-06-18,123.25,128.48,123.16,126.94,2615670
87,2021-06-21,126.66,131.25,126.66,130.01,1145940
88,2021-06-22,129.5,133.8,128.6,133.11,928750
89,2021-06-23,132.03,135.5,130.68,130.98,711990
90,2021-06-24,130.0,131.99,129.26,129.8,370640
91,2021-06-25,129.76,133.65,129.26,130.05,907620
92,2021-06-28,130.8,133.51,130.68,130.98,753290
93,2021-06-29,130.6,131.22,128.6,129.23,471810
94,2021-06-30,129.88,131.32,127.86,128.69,489930
95,2021-07-01,128.69,130.19,126.6,128.06,451740
96,2021-07-02,128.22,128.65,125.11,126.59,325400
97,2021-07-05,125.01,127.86,125.01,126.26,282330
98,2021-07-06,126.16,126.6,122.59,123.0,378700
99,2021-07-07,123.89,126.44,123.02,126.33,276470
100,2021-07-08,126.09,126.34,123.52,124.33,135520
101,2021-07-09,124.2,125.2,121.98,123.98,243090
102,2021-07-12,124.5,128.0,124.5,126.96,281960
103,2021-07-13,126.86,127.4,126.49,127.16,144910
104,2021-07-14,127.24,131.67,127.24,128.54,573010
105,2021-07-15,128.56,129.48,126.6,126.81,190540
106,2021-07-16,126.84,128.0,124.16,124.37,285170
107,2021-07-19,124.4,124.99,122.7,124.03,91320
108,2021-07-20,123.89,127.8,123.73,125.0,255980
109,2021-07-21,124.87,126.87,124.56,125.92,237620
110,2021-07-22,125.98,126.08,124.3,124.65,149150
111,2021-07-23,124.54,124.96,116.3,122.55,294170
112,2021-07-26,122.0,122.38,119.12,119.93,364000
113,2021-07-27,119.9,121.85,119.74,120.0,238280
114,2021-07-28,120.38,121.9,118.02,119.99,231560
115,2021-07-29,120.08,120.8,117.64,119.62,441980
116,2021-07-30,119.73,119.85,118.68,119.22,185840
117,2021-08-02,120.03,120.1,118.75,119.6,149520
118,2021-08-03,119.72,124.44,119.2,121.18,771050
119,2021-08-04,121.79,121.8,120.09,121.1,179770
120,2021-08-05,121.49,121.56,120.4,121.09,84260
121,2021-08-06,121.1,121.57,119.15,120.13,97840
122,2021-08-09,120.01,120.86,119.55,119.92,273640
123,2021-08-10,121.0,121.5,119.38,120.18,78000
124,2021-08-11,120.2,120.5,120.05,120.3,59470
125,2021-08-12,120.44,121.35,120.44,121.15,96310
126,2021-08-13,121.25,121.55,120.7,121.31,60270
127,2021-08-16,121.45,123.13,121.04,122.02,99030
128,2021-08-17,122.66,122.66,119.72,119.82,160810
129,2021-08-18,119.96,120.69,118.25,118.66,71940
130,2021-08-19,118.61,120.55,118.56,120.31,180880
131,2021-08-20,120.25,120.25,118.5,118.58,23750
132,2021-08-23,118.74,119.16,118.2,118.48,34780
133,2021-08-24,118.4,119.49,118.4,119.32,32150
134,2021-08-25,119.35,121.09,119.26,120.19,62760
135,2021-08-26,120.1,120.65,119.45,119.62,41030
136,2021-08-27,119.48,120.21,119.0,119.09,25830
137,2021-08-30,119.15,119.95,117.55,117.85,76850
138,2021-08-31,117.85,118.2,117.21,117.55,23780
139,2021-09-01,117.56,119.8,117.25,118.35,119400
140,2021-09-02,118.2,118.63,117.7,117.86,26820
141,2021-09-03,117.8,118.48,117.2,118.22,64030
142,2021-09-06,118.22,120.21,118.22,119.61,116150
143,2021-09-07,119.65,120.55,119.51,120.23,92950
144,2021-09-08,120.23,120.49,119.73,120.0,50690
145,2021-09-09,119.96,120.61,119.0,119.59,56080
146,2021-09-10,119.48,120.84,119.48,120.03,34980
147,2021-09-13,120.0,120.79,119.6,120.14,24790
148,2021-09-14,119.99,120.89,117.78,118.92,90220
149,2021-09-15,118.95,119.66,118.0,118.6,28950
150,2021-09-16,118.76,121.7,118.76,119.99,227910
151,2021-09-17,121.4,128.0,120.18,122.59,2700570
152,2021-09-22,120.96,124.7,119.6,121.23,925410
153,2021-09-23,121.2,122.83,120.05,122.49,302630
154,2021-09-24,123.01,125.24,120.81,123.35,487040
155,2021-09-27,123.73,128.36,122.8,123.09,974830
156,2021-09-28,123.27,123.34,120.67,120.94,182960
157,2021-09-29,120.89,122.34,118.0,118.23,92030
158,2021-09-30,118.99,120.5,117.46,119.99,148640
159,2021-10-08,123.3,126.56,122.0,123.79,609490
160,2021-10-11,123.75,125.26,122.45,124.01,153780
161,2021-10-12,124.05,124.55,121.47,123.55,76700
162,2021-10-13,123.67,123.81,119.61,121.33,227740
163,2021-10-14,122.32,122.38,120.72,121.42,80620
164,2021-10-15,121.64,123.89,121.36,123.09,130170
165,2021-10-18,122.97,123.29,120.8,120.87,70500
166,2021-10-19,120.92,122.13,120.87,121.23,30810
167,2021-10-20,121.45,122.09,120.5,120.72,22190
168,2021-10-21,120.81,121.3,120.63,120.87,15020
169,2021-10-22,120.95,121.55,119.48,119.7,17230
170,2021-10-25,119.79,120.18,119.33,120.11,21410
171,2021-10-26,120.01,120.62,120.0,120.0,25250
172,2021-10-27,119.97,120.54,119.33,119.78,104530
173,2021-10-28,119.75,119.75,113.99,114.09,320670
174,2021-10-29,114.45,115.77,114.12,114.95,201550
175,2021-11-01,115.05,116.19,114.83,116.02,28740
176,2021-11-02,116.5,116.5,115.16,115.28,24860
177,2021-11-03,115.35,116.34,114.81,115.13,21100
178,2021-11-04,115.13,117.0,114.95,116.4,56400
179,2021-11-05,116.45,116.58,115.08,115.4,58220
180,2021-11-08,115.45,116.11,115.32,116.09,37120
181,2021-11-09,116.11,118.13,116.0,117.58,55130
182,2021-11-10,130.0,130.0,118.32,119.61,4255110
183,2021-11-11,118.13,120.97,118.0,119.46,692600
184,2021-11-12,119.7,122.2,119.7,121.07,336780
185,2021-11-15,123.05,126.12,121.56,122.31,1035030
186,2021-11-16,122.3,123.24,120.68,121.02,216320
187,2021-11-17,121.62,122.36,120.68,122.02,143870
188,2021-11-18,122.28,122.93,121.4,122.65,153450
189,2021-11-19,122.35,123.56,121.92,123.41,105210
190,2021-11-22,123.65,129.99,122.31,125.33,567720
191,2021-11-23,125.46,126.97,123.95,125.3,161600
192,2021-11-24,125.49,125.84,123.61,123.92,100210
193,2021-11-25,124.9,127.0,123.8,126.21,254020
194,2021-11-26,127.44,131.86,127.44,127.82,1018440
195,2021-11-29,128.0,135.78,128.0,131.11,1554160
196,2021-11-30,131.2,132.32,128.89,130.7,402940
197,2021-12-01,130.87,132.14,128.81,129.97,464110
198,2021-12-02,130.22,130.74,129.0,129.82,143480
199,2021-12-03,129.83,130.15,126.83,128.15,200380
200,2021-12-06,128.01,129.86,125.63,125.97,242050
201,2021-12-07,127.0,128.18,121.85,122.35,106520
202,2021-12-08,122.24,126.23,121.64,125.48,107880
203,2021-12-09,125.15,127.32,125.15,126.33,136560
204,2021-12-10,126.19,128.63,126.19,126.73,65320
205,2021-12-13,125.0,127.57,125.0,126.0,31720
206,2021-12-14,125.51,129.32,125.16,126.13,134250
207,2021-12-15,125.95,126.31,124.51,124.75,130620
208,2021-12-16,124.6,125.37,123.55,124.06,86100
209,2021-12-17,123.89,126.82,123.8,124.75,69090
210,2021-12-20,124.34,126.35,122.89,124.43,115480
211,2021-12-21,124.0,125.7,122.99,123.98,48720
212,2021-12-22,124.2,129.4,124.08,127.53,341130
213,2021-12-23,127.4,129.25,126.54,127.28,57120
214,2021-12-24,127.25,129.98,127.25,129.79,95700
215,2021-12-27,130.0,134.6,128.75,129.27,255090
216,2021-12-28,129.01,131.88,127.7,128.99,150400
217,2021-12-29,129.18,131.35,128.19,129.22,111670
218,2021-12-30,128.96,130.12,128.37,128.48,27000
219,2021-12-31,128.65,131.95,128.49,130.2,85170
220,2022-01-04,130.34,131.72,127.95,129.2,67040
221,2022-01-05,128.84,130.05,126.21,127.03,85410
222,2022-01-06,127.02,132.15,126.91,128.97,359050
223,2022-01-07,129.3,129.97,127.2,127.31,44090
224,2022-01-10,127.31,135.13,127.3,129.99,620780
225,2022-01-11,129.65,130.59,128.12,128.39,83490
226,2022-01-12,129.0,130.5,128.47,129.49,170130
227,2022-01-13,129.45,129.98,128.23,128.63,69400
228,2022-01-14,128.3,130.4,127.37,128.75,152010
229,2022-01-17,128.79,130.75,128.05,130.12,137110
230,2022-01-18,130.05,130.45,128.32,128.63,125200
231,2022-01-19,128.55,129.82,127.51,127.69,99090
232,2022-01-20,128.5,129.0,125.72,125.98,203630
233,2022-01-21,125.85,128.0,124.41,124.99,85130
234,2022-01-24,124.99,125.65,124.35,124.79,25740
235,2022-01-25,124.82,126.12,123.3,123.49,25890
236,2022-01-26,123.65,125.01,123.0,123.5,25290
237,2022-01-27,123.63,125.5,122.95,123.49,32180
238,2022-01-28,123.5,124.8,123.3,123.64,31310
239,2022-02-07,124.02,124.87,123.21,123.44,58400
240,2022-02-08,123.31,123.87,122.52,123.35,23680
241,2022-02-09,123.35,123.9,122.6,123.59,102830
242,2022-02-10,123.75,124.49,122.77,123.0,58830
243,2022-02-11,122.86,123.08,121.0,121.36,32490
244,2022-02-14,121.31,122.78,116.35,116.49,69490
245,2022-02-15,117.19,117.52,115.35,116.3,124210
246,2022-02-16,117.02,117.34,116.38,116.72,120980
247,2022-02-17,116.89,117.0,116.38,116.77,21680
248,2022-02-18,116.85,117.25,115.03,115.4,243200
249,2022-02-21,115.64,115.98,115.1,115.96,109740
250,2022-02-22,115.91,116.6,115.1,116.56,46540
251,2022-02-23,116.7,124.12,116.63,120.65,949040
252,2022-02-24,120.6,121.77,119.2,120.22,174740
253,2022-02-25,120.15,123.25,120.15,121.17,105300
254,2022-02-28,121.25,121.45,120.17,121.14,42970
255,2022-03-01,121.14,121.98,120.8,121.0,42460
256,2022-03-02,121.01,121.41,120.16,121.03,54140
257,2022-03-03,121.03,121.61,120.54,120.73,25800
258,2022-03-04,120.84,132.85,118.32,118.47,9621120
259,2022-03-07,118.85,120.35,117.22,118.43,1714250
260,2022-03-08,127.0,142.0,117.39,132.61,42712870
261,2022-03-09,154.0,159.13,134.12,144.78,41264220
262,2022-03-10,146.0,171.7,140.0,162.14,65599140
263,2022-03-11,162.55,173.88,151.11,152.53,40151930
264,2022-03-14,153.74,166.97,138.0,139.41,43997600
265,2022-03-15,159.87,181.18,156.1,176.98,49369050
266,2022-03-16,188.02,192.88,158.8,161.94,62062240
267,2022-03-17,159.0,193.5,157.53,161.58,87277470
268,2022-03-18,165.6,171.26,160.5,163.12,44284010
269,2022-03-21,164.0,181.66,164.0,171.79,48756310
270,2022-03-22,170.0,171.74,160.5,162.95,15238350
271,2022-03-23,163.0,178.88,163.0,166.53,50391790
272,2022-03-24,166.71,182.5,166.7,171.47,53094480
273,2022-03-25,173.2,192.3,167.5,176.52,68684590
274,2022-03-28,210.0,235.4,207.1,233.43,17509200
275,2022-03-29,215.1,243.0,208.1,209.22,38485410
276,2022-03-30,212.0,228.7,209.0,223.84,59113090
277,2022-03-31,224.0,235.9,196.0,197.73,37060300
278,2022-04-01,197.6,201.8,182.66,186.41,22200620
279,2022-04-06,193.0,198.99,184.17,198.11,37558320
280,2022-04-07,198.3,204.94,178.69,182.25,20176560
281,2022-04-08,184.3,185.58,163.64,165.84,13881600
282,2022-04-11,165.0,168.64,159.47,167.28,21840170
283,2022-04-12,170.88,175.99,167.0,170.35,23235540
284,2022-04-13,165.59,167.0,149.13,154.09,22308080
285,2022-04-14,154.66,160.2,151.66,156.52,18406910
