,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2017-01-03,5.92,6.05,6.09,5.84,630787,328049424.0,4.26,3.07,0.18,1.12
1,2017-01-04,6.13,6.2,6.33,6.1,1213401,655855136.0,3.8,2.48,0.15,2.15
2,2017-01-05,6.15,6.51,6.69,6.11,1519449,847117520.0,9.35,5.0,0.31,2.69
3,2017-01-06,6.45,6.41,6.68,6.39,1352637,772109136.0,4.45,-1.54,-0.1,2.39
4,2017-01-09,6.44,6.57,6.59,6.36,983577,559211280.0,3.59,2.5,0.16,1.74
5,2017-01-10,6.51,6.41,6.55,6.39,710152,402830528.0,2.44,-2.44,-0.16,1.26
6,2017-01-11,6.36,6.28,6.45,6.24,716932,396915632.0,3.28,-2.03,-0.13,1.27
7,2017-01-12,6.26,6.27,6.37,6.16,655389,358787680.0,3.34,-0.16,-0.01,1.16
8,2017-01-13,6.28,6.33,6.37,6.19,680302,374151456.0,2.87,0.96,0.06,1.2
9,2017-01-16,6.34,6.41,6.48,6.19,1089431,602747584.0,4.58,1.26,0.08,1.93
10,2017-01-17,6.37,6.46,6.48,6.33,584819,328350576.0,2.34,0.78,0.05,1.03
11,2017-01-18,6.44,6.39,6.54,6.39,499795,283369792.0,2.32,-1.08,-0.07,0.88
12,2017-01-19,6.41,6.28,6.42,6.27,426267,235314399.0,2.35,-1.72,-0.11,0.75
13,2017-01-20,6.25,6.3,6.33,6.25,347685,191081822.0,1.27,0.32,0.02,0.62
14,2017-01-23,6.29,6.25,6.33,6.22,550010,300925568.0,1.75,-0.79,-0.05,0.97
15,2017-01-24,6.25,6.24,6.28,6.19,348414,189507068.0,1.44,-0.16,-0.01,0.62
16,2017-01-25,6.22,6.26,6.27,6.21,282068,153611084.0,0.96,0.32,0.02,0.5
17,2017-01-26,6.26,6.33,6.37,6.25,347993,192348580.0,1.92,1.12,0.07,0.62
18,2017-02-03,6.29,6.27,6.32,6.25,261763,143504817.0,1.11,-0.95,-0.06,0.46
19,2017-02-06,6.26,6.08,6.28,6.0,998861,530067200.0,4.47,-3.03,-0.19,1.77
20,2017-02-07,6.07,6.08,6.09,6.0,392393,205780815.0,1.48,0.0,0.0,0.69
21,2017-02-08,6.06,6.12,6.14,5.97,582240,306550608.0,2.8,0.66,0.04,1.03
22,2017-02-09,6.09,6.1,6.15,6.04,504522,266506305.0,1.8,-0.33,-0.02,0.89
23,2017-02-10,6.08,6.1,6.15,6.07,518849,274987984.0,1.31,0.0,0.0,0.92
24,2017-02-13,6.06,6.13,6.17,6.06,597401,318578064.0,1.8,0.49,0.03,1.06
25,2017-02-14,6.5,6.31,6.63,6.25,1061663,587072288.0,6.2,2.94,0.18,1.88
26,2017-02-15,6.32,6.21,6.33,6.18,835899,454692256.0,2.38,-1.58,-0.1,1.48
27,2017-02-16,6.2,6.25,6.32,6.18,624296,341005216.0,2.25,0.64,0.04,1.1
28,2017-02-17,6.24,6.2,6.28,6.16,588052,317872304.0,1.92,-0.8,-0.05,1.04
29,2017-02-20,6.17,6.22,6.31,6.16,1049100,569138496.0,2.42,0.32,0.02,1.86
30,2017-02-21,6.23,6.24,6.26,6.21,400765,217631898.0,0.8,0.32,0.02,0.71
31,2017-02-22,6.24,6.21,6.24,6.17,383924,207418091.0,1.12,-0.48,-0.03,0.68
32,2017-02-23,6.21,6.15,6.21,6.1,527049,282034128.0,1.77,-0.97,-0.06,0.93
33,2017-02-24,6.14,6.18,6.25,6.09,582672,312274544.0,2.6,0.49,0.03,1.03
34,2017-02-27,6.17,6.11,6.18,6.1,368211,196447098.0,1.29,-1.13,-0.07,0.65
35,2017-02-28,6.12,6.12,6.16,6.1,234005,124562509.0,0.98,0.16,0.01,0.41
36,2017-03-01,6.14,6.16,6.18,6.1,366563,195924187.0,1.31,0.65,0.04,0.65
37,2017-03-02,6.15,6.11,6.15,6.11,208044,110763321.0,0.65,-0.81,-0.05,0.37
38,2017-03-03,6.09,6.07,6.11,6.04,252315,132887909.0,1.15,-0.65,-0.04,0.45
39,2017-03-06,6.08,6.1,6.12,6.05,250154,132174561.0,1.15,0.49,0.03,0.44
40,2017-03-07,6.1,6.09,6.11,6.04,209891,110772381.0,1.15,-0.16,-0.01,0.37
41,2017-03-08,6.07,6.15,6.16,6.04,425809,226531928.0,1.97,0.99,0.06,0.75
42,2017-03-09,6.13,6.16,6.18,6.1,320277,171340784.0,1.3,0.16,0.01,0.57
43,2017-03-10,6.15,6.19,6.24,6.15,490723,265453226.0,1.46,0.49,0.03,0.87
44,2017-03-13,6.19,6.23,6.23,6.13,337002,181739388.0,1.62,0.65,0.04,0.6
45,2017-03-14,6.23,6.13,6.25,6.11,441184,236809894.0,2.25,-1.61,-0.1,0.78
46,2017-03-15,6.11,5.99,6.11,5.97,621591,324054080.0,2.28,-2.28,-0.14,1.1
47,2017-03-16,5.99,6.05,6.08,5.97,339913,178227475.0,1.84,1.0,0.06,0.6
48,2017-03-17,6.06,6.0,6.07,6.0,280936,146949726.0,1.16,-0.83,-0.05,0.5
49,2017-03-20,6.01,5.98,6.03,5.94,263989,136774059.0,1.5,-0.33,-0.02,0.47
50,2017-03-21,5.98,5.99,6.0,5.94,223728,115773849.0,1.0,0.17,0.01,0.4
51,2017-03-22,5.97,6.02,6.03,5.95,217417,112795389.0,1.34,0.5,0.03,0.38
52,2017-03-23,6.02,5.97,6.03,5.95,209101,108629992.0,1.33,-0.83,-0.05,0.37
53,2017-03-24,6.0,6.08,6.08,5.95,424406,221849614.0,2.18,1.84,0.11,0.75
54,2017-03-27,6.14,6.16,6.24,6.11,605079,324620240.0,2.14,1.32,0.08,1.07
55,2017-03-28,6.15,6.07,6.17,6.05,238722,126159310.0,1.95,-1.46,-0.09,0.42
56,2017-03-29,6.08,6.1,6.17,6.02,353521,187555026.0,2.47,0.49,0.03,0.63
57,2017-03-30,6.03,6.02,6.14,5.9,446222,233286129.0,3.93,-1.31,-0.08,0.79
58,2017-03-31,6.03,6.0,6.04,5.94,252811,130856029.0,1.66,-0.33,-0.02,0.45
59,2017-04-05,6.0,6.07,6.08,5.99,299902,157307866.0,1.5,1.17,0.07,0.53
60,2017-04-06,6.1,6.25,6.33,6.08,1006058,546049776.0,4.12,2.97,0.18,1.78
61,2017-04-07,6.24,6.23,6.3,6.2,549710,299845216.0,1.6,-0.32,-0.02,0.97
62,2017-04-10,6.24,6.29,6.34,6.2,638131,349186928.0,2.25,0.96,0.06,1.13
63,2017-04-11,6.31,6.36,6.4,6.16,845773,465076368.0,3.82,1.11,0.07,1.5
64,2017-04-12,6.42,6.39,6.67,6.38,1573439,896672960.0,4.56,0.47,0.03,2.78
65,2017-04-13,6.39,6.34,6.39,6.25,622238,343298272.0,2.19,-0.78,-0.05,1.1
66,2017-04-14,6.31,6.21,6.31,6.2,549818,299407728.0,1.74,-2.05,-0.13,0.97
67,2017-04-17,6.24,6.19,6.32,6.09,548328,295438576.0,3.7,-0.32,-0.02,0.97
68,2017-04-18,6.18,6.15,6.22,6.11,316483,170091985.0,1.78,-0.65,-0.04,0.56
69,2017-04-19,6.11,6.04,6.14,6.0,471175,247840540.0,2.28,-1.79,-0.11,0.83
70,2017-04-20,6.05,6.11,6.12,6.02,288315,151922823.0,1.66,1.16,0.07,0.51
71,2017-04-21,6.1,5.99,6.12,5.98,365048,190757403.0,2.29,-1.96,-0.12,0.65
72,2017-04-24,6.0,5.83,6.0,5.81,387070,196961431.0,3.17,-2.67,-0.16,0.68
73,2017-04-25,5.83,5.82,5.92,5.8,311471,157833952.0,2.06,-0.17,-0.01,0.55
74,2017-04-26,5.82,5.8,5.86,5.79,247352,124165099.0,1.2,-0.34,-0.02,0.44
75,2017-04-27,5.69,5.58,5.72,5.35,714914,339118192.0,6.38,-3.79,-0.22,1.26
76,2017-04-28,5.55,5.5,5.6,5.48,382587,180802274.0,2.15,-1.43,-0.08,0.68
77,2017-05-02,5.52,5.47,5.52,5.44,272517,127519953.0,1.45,-0.55,-0.03,0.48
78,2017-05-03,5.47,5.42,5.5,5.41,263900,123081335.0,1.65,-0.91,-0.05,0.47
