,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2017-01-03,60.26,61.72,62.44,60.26,17843,54696170.0,3.62,2.49,1.5,1.98
1,2017-01-04,62.48,62.82,63.12,61.64,12670,39209573.0,2.4,1.78,1.1,1.41
2,2017-01-05,62.92,62.36,63.6,61.86,8081,25104468.0,2.77,-0.73,-0.46,0.9
3,2017-01-06,62.52,61.48,63.42,61.32,7928,24280971.0,3.37,-1.41,-0.88,0.88
4,2017-01-09,61.2,62.56,62.62,61.2,9128,27930161.0,2.31,1.76,1.08,1.01
5,2017-01-10,62.56,63.08,63.22,62.52,7273,22652197.0,1.12,0.83,0.52,0.81
6,2017-01-11,63.08,61.6,64.36,61.6,23299,72567906.0,4.38,-2.35,-1.48,2.59
7,2017-01-12,61.58,59.2,62.18,58.88,17539,52771930.0,5.36,-3.9,-2.4,1.95
8,2017-01-13,59.62,59.62,60.38,58.22,13864,40875475.0,3.65,0.71,0.42,1.54
9,2017-01-16,59.6,54.82,59.6,53.72,18428,50974560.0,9.86,-8.05,-4.8,2.05
10,2017-01-17,52.62,54.74,55.22,51.62,16943,44684603.0,6.57,-0.15,-0.08,1.88
11,2017-01-18,54.6,53.12,54.6,52.88,9360,24893462.0,3.14,-2.96,-1.62,1.04
12,2017-01-19,53.22,51.68,53.28,50.72,10082,25879511.0,4.82,-2.71,-1.44,1.12
13,2017-01-20,51.62,53.22,54.02,51.42,17312,45000197.0,5.03,2.98,1.54,1.92
14,2017-01-23,53.82,56.22,56.52,52.82,14677,40432180.0,6.95,5.64,3.0,1.63
15,2017-01-24,55.38,55.76,56.72,54.82,10116,27879751.0,3.38,-0.82,-0.46,1.12
16,2017-01-25,55.32,56.22,56.36,54.98,8920,24697268.0,2.47,0.82,0.46,0.99
17,2017-01-26,56.06,56.2,56.8,56.02,4064,11365585.0,1.39,-0.04,-0.02,0.45
18,2017-02-03,57.2,56.42,57.34,55.62,5116,14268795.0,3.06,0.39,0.22,0.57
19,2017-02-06,56.52,56.62,57.18,56.02,7246,20269875.0,2.06,0.35,0.2,0.81
20,2017-02-07,56.92,56.22,57.08,55.94,5785,16164700.0,2.01,-0.71,-0.4,0.64
21,2017-02-08,56.02,56.72,56.82,55.42,6505,18073076.0,2.49,0.89,0.5,0.72
22,2017-02-09,57.22,56.98,58.32,56.8,12283,34951078.0,2.68,0.46,0.26,1.37
23,2017-02-10,56.98,56.76,57.4,56.64,8207,23099123.0,1.33,-0.39,-0.22,0.91
24,2017-02-13,56.64,55.9,56.9,55.28,18632,51513598.0,2.85,-1.52,-0.86,2.07
25,2017-02-14,56.08,55.82,56.08,55.4,10844,29847970.0,1.22,-0.14,-0.08,1.21
26,2017-02-15,55.98,55.24,56.82,55.16,12131,33587213.0,2.97,-1.04,-0.58,1.35
27,2017-02-16,55.06,56.2,56.28,54.88,9550,26317908.0,2.53,1.74,0.96,1.06
28,2017-02-17,56.22,55.58,57.18,55.3,9167,25301041.0,3.35,-1.1,-0.62,1.02
29,2017-02-20,55.02,54.46,55.48,53.52,10977,29407684.0,3.53,-2.02,-1.12,1.22
30,2017-02-21,54.46,55.34,55.6,53.94,11129,30281852.0,3.05,1.62,0.88,1.24
31,2017-02-22,55.42,54.94,55.68,54.22,13578,36799542.0,2.64,-0.72,-0.4,1.51
32,2017-02-23,55.08,55.52,55.52,53.72,14791,39991649.0,3.28,1.06,0.58,1.64
33,2017-02-24,55.36,56.7,56.82,55.16,16761,46415337.0,2.99,2.13,1.18,1.86
34,2017-02-27,55.68,57.1,60.62,55.68,20429,58140222.0,8.71,0.71,0.4,2.27
35,2017-02-28,56.52,55.98,56.98,55.62,15120,41997775.0,2.38,-1.96,-1.12,1.68
36,2017-03-01,55.64,55.36,55.96,54.44,14100,38597035.0,2.72,-1.11,-0.62,1.57
37,2017-03-02,55.36,55.1,55.74,54.88,7513,20549650.0,1.55,-0.47,-0.26,0.84
38,2017-03-03,55.0,55.36,55.7,54.46,7737,21136389.0,2.25,0.47,0.26,0.86
39,2017-03-06,55.32,56.48,56.6,55.06,13595,37686315.0,2.78,2.02,1.12,1.51
40,2017-03-07,56.82,56.2,56.82,56.04,9658,26980024.0,1.38,-0.5,-0.28,1.07
41,2017-03-08,55.96,56.46,57.02,55.86,14360,40189355.0,2.06,0.46,0.26,1.6
42,2017-03-09,56.34,56.72,57.22,56.34,13845,38917858.0,1.56,0.46,0.26,1.54
43,2017-03-10,56.62,55.9,57.34,55.8,9524,26557471.0,2.72,-1.45,-0.82,1.06
44,2017-03-13,56.22,55.88,56.22,54.7,8517,23339412.0,2.72,-0.04,-0.02,0.95
45,2017-03-14,56.08,55.88,56.62,55.62,6869,19056556.0,1.79,0.0,0.0,0.76
46,2017-03-15,56.2,55.62,56.3,55.02,6875,18853876.0,2.29,-0.47,-0.26,0.76
47,2017-03-16,55.62,56.02,56.36,55.52,13483,37263981.0,1.51,0.72,0.4,1.5
48,2017-03-17,56.22,56.78,57.38,55.78,16126,45206104.0,2.86,1.36,0.76,1.79
49,2017-03-20,56.74,57.52,57.54,55.7,15518,43628533.0,3.24,1.3,0.74,1.73
50,2017-03-21,57.02,57.14,57.32,56.02,14288,40163738.0,2.26,-0.66,-0.38,1.59
51,2017-03-22,56.68,57.28,57.8,56.56,12994,36662131.0,2.17,0.25,0.14,1.44
52,2017-03-23,57.28,57.72,57.92,56.46,19172,54407709.0,2.55,0.77,0.44,2.13
53,2017-03-24,58.02,57.56,58.36,57.28,13681,39009503.0,1.87,-0.28,-0.16,1.52
54,2017-03-27,57.54,56.72,57.72,56.24,16611,46683425.0,2.57,-1.46,-0.84,1.85
55,2017-03-28,56.7,56.62,57.12,56.46,7553,21190218.0,1.16,-0.18,-0.1,0.84
56,2017-03-29,56.64,55.08,56.72,55.08,7980,22137522.0,2.9,-2.72,-1.54,0.89
57,2017-03-30,54.88,53.52,55.22,52.7,15725,41731679.0,4.58,-2.83,-1.56,1.75
58,2017-03-31,53.88,53.92,54.46,53.02,10818,28702088.0,2.69,0.75,0.4,1.2
59,2017-04-05,53.98,55.0,55.12,53.26,11517,30913190.0,3.45,2.0,1.08,1.28
60,2017-04-06,54.46,56.02,57.22,54.46,15219,42414553.0,5.02,1.85,1.02,1.69
61,2017-04-07,55.72,55.76,56.42,55.42,9587,26496869.0,1.79,-0.46,-0.26,1.07
62,2017-04-10,55.76,54.42,55.82,54.26,12835,34757171.0,2.8,-2.4,-1.34,1.43
63,2017-04-11,54.58,56.2,56.38,54.06,8239,22555765.0,4.26,3.27,1.78,0.92
64,2017-04-12,56.2,56.24,56.6,55.56,10985,30545512.0,1.85,0.07,0.04,1.22
65,2017-04-13,56.42,57.14,57.54,56.08,9411,26558699.0,2.6,1.6,0.9,1.05
66,2017-04-14,56.62,56.82,57.2,55.88,7744,21694542.0,2.31,-0.56,-0.32,0.86
67,2017-04-17,56.62,55.16,56.74,55.06,10493,28958002.0,2.96,-2.92,-1.66,1.17
68,2017-04-18,55.16,56.2,57.56,54.64,12605,35195887.0,5.29,1.89,1.04,1.4
69,2017-04-19,55.74,53.08,55.74,52.08,17504,46500969.0,6.51,-5.55,-3.12,1.95
70,2017-04-20,52.92,53.82,54.16,52.64,7252,19135649.0,2.86,1.39,0.74,0.81
71,2017-04-21,53.34,54.92,55.02,53.34,6046,16286290.0,3.12,2.04,1.1,0.67
72,2017-04-24,55.32,53.24,55.32,53.24,5529,14667605.0,3.79,-3.06,-1.68,0.61
73,2017-04-25,53.24,52.42,53.48,51.82,8205,21342685.0,3.12,-1.54,-0.82,0.91
74,2017-04-26,52.02,52.04,52.42,51.62,7772,19942815.0,1.53,-0.72,-0.38,0.86
75,2017-04-27,51.82,52.66,53.82,48.84,16120,41073990.0,9.57,1.19,0.62,1.79
76,2017-04-28,52.66,53.14,53.72,52.12,6449,16892137.0,3.04,0.91,0.48,0.72
77,2017-05-02,53.6,53.44,54.02,52.98,3721,9823222.0,1.96,0.56,0.3,0.41
78,2017-05-03,53.08,54.42,54.6,53.08,9110,24426766.0,2.84,1.83,0.98,1.01
79,2017-05-04,54.8,54.06,54.8,53.62,4557,12230040.0,2.17,-0.66,-0.36,0.51
80,2017-05-05,53.48,53.52,54.02,52.72,6754,17713224.0,2.4,-1.0,-0.54,0.75
81,2017-05-08,53.4,54.5,55.6,52.72,7850,21135089.0,5.38,1.83,0.98,0.87
82,2017-05-09,54.58,54.76,55.58,54.18,7976,21662573.0,2.57,0.48,0.26,0.89
83,2017-05-10,54.78,51.94,55.42,50.88,9783,25834718.0,8.29,-5.15,-2.82,1.09
84,2017-05-11,51.74,51.42,51.88,50.48,4209,10631417.0,2.7,-1.0,-0.52,0.47
85,2017-05-12,51.04,52.02,52.12,51.04,3370,8589122.0,2.1,1.17,0.6,0.37
86,2017-05-15,52.02,52.26,52.44,51.82,2096,5405562.0,1.19,0.46,0.24,0.23
87,2017-05-16,52.14,53.92,54.02,51.54,7092,18460720.0,4.75,3.18,1.66,0.79
88,2017-05-17,53.94,53.82,54.2,53.34,4051,10777077.0,1.59,-0.19,-0.1,0.45
89,2017-05-18,53.66,53.58,54.12,53.22,5515,14610074.0,1.67,-0.45,-0.24,0.61
90,2017-05-19,53.18,53.5,53.88,53.0,2896,7644075.0,1.64,-0.15,-0.08,0.32
91,2017-05-22,53.88,52.44,53.88,51.54,4073,10583223.0,4.37,-1.98,-1.06,0.45
