,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2017-01-03,105.87,106.22,106.57,105.6,60083,67013059.0,0.91,0.17,0.18,0.56
1,2017-01-04,106.22,106.22,106.48,105.6,59305,65956330.0,0.83,0.0,0.0,0.55
2,2017-01-05,106.13,105.69,106.31,105.25,67707,75065048.0,1.0,-0.5,-0.53,0.63
3,2017-01-06,105.69,105.34,105.78,105.08,56344,62313019.0,0.66,-0.33,-0.35,0.53
4,2017-01-09,105.43,105.96,106.04,104.99,68365,75764748.0,1.0,0.59,0.62,0.64
5,2017-01-10,105.78,105.34,105.87,105.25,42325,46876690.0,0.59,-0.59,-0.62,0.4
6,2017-01-11,105.43,103.85,105.87,103.85,67818,74581663.0,1.92,-1.41,-1.49,0.63
7,2017-01-12,103.93,103.14,104.37,102.97,64052,69563067.0,1.35,-0.68,-0.71,0.6
8,2017-01-13,103.23,102.88,103.76,102.61,40069,43261623.0,1.11,-0.25,-0.26,0.37
9,2017-01-16,102.88,100.94,103.14,99.54,76392,81015815.0,3.5,-1.89,-1.94,0.71
10,2017-01-17,100.5,102.09,102.26,100.5,41771,44289286.0,1.74,1.14,1.15,0.39
11,2017-01-18,101.65,102.0,102.35,101.65,33337,35606454.0,0.69,-0.09,-0.09,0.31
12,2017-01-19,101.91,102.26,102.7,101.65,35297,37785096.0,1.03,0.25,0.26,0.33
13,2017-01-20,102.09,102.97,103.23,102.09,40176,43295507.0,1.11,0.69,0.71,0.38
14,2017-01-23,102.97,103.23,103.58,102.79,42432,45918115.0,0.77,0.25,0.26,0.4
15,2017-01-24,103.23,103.23,103.41,102.79,38239,41282831.0,0.6,0.0,0.0,0.36
16,2017-01-25,103.32,103.23,103.58,102.79,31796,34386904.0,0.77,0.0,0.0,0.3
17,2017-01-26,103.32,103.49,103.67,103.05,32822,35565485.0,0.6,0.25,0.26,0.31
18,2017-02-03,103.49,103.14,103.49,102.79,30849,33291052.0,0.68,-0.34,-0.35,0.29
