,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2017-01-03,59.5,59.89,60.51,59.38,123552,177615788.0,1.92,1.53,0.9,1.92
1,2017-01-04,60.27,61.95,62.06,60.2,265892,391915648.0,3.11,3.44,2.06,4.12
2,2017-01-05,61.71,60.9,61.87,60.86,153989,226813997.0,1.63,-1.69,-1.05,2.39
3,2017-01-06,60.7,61.01,61.44,60.62,120531,177070024.0,1.35,0.18,0.11,1.87
4,2017-01-09,61.09,61.4,61.79,60.86,166731,246066577.0,1.52,0.64,0.39,2.59
5,2017-01-10,61.52,60.74,61.6,60.31,115997,169613081.0,2.1,-1.07,-0.66,1.8
6,2017-01-11,60.9,59.26,60.9,59.15,151523,218103511.0,2.88,-2.44,-1.48,2.35
7,2017-01-12,59.42,57.94,59.81,57.63,122580,172995265.0,3.68,-2.23,-1.32,1.9
8,2017-01-13,58.02,55.65,58.02,55.65,218987,296553712.0,4.09,-3.95,-2.29,3.4
9,2017-01-16,55.41,53.2,55.8,51.49,206251,265194994.0,7.74,-4.4,-2.45,3.2
10,2017-01-17,53.04,54.64,55.1,52.89,126082,162064408.0,4.15,2.71,1.44,1.95
11,2017-01-18,54.36,53.35,54.36,53.28,101249,129590479.0,1.98,-2.36,-1.29,1.57
12,2017-01-19,53.12,53.66,54.68,52.62,97588,125139306.0,3.86,0.58,0.31,1.51
13,2017-01-20,53.63,54.29,54.95,53.55,89615,116253778.0,2.61,1.17,0.63,1.39
14,2017-01-23,54.52,55.22,55.53,54.25,100949,132470328.0,2.36,1.71,0.93,1.57
15,2017-01-24,55.03,54.87,55.3,54.71,55522,72837249.0,1.07,-0.63,-0.35,0.86
16,2017-01-25,54.87,56.04,56.78,54.68,116109,154857565.0,3.83,2.13,1.17,1.8
17,2017-01-26,56.04,55.69,56.31,55.41,81116,108208813.0,1.61,-0.62,-0.35,1.26
18,2017-02-03,55.69,55.49,56.19,55.14,63611,84639506.0,1.89,-0.36,-0.2,0.99
19,2017-02-06,55.49,56.19,56.43,55.34,77151,102965885.0,1.96,1.26,0.7,1.2
20,2017-02-07,56.0,56.04,56.81,55.76,86123,115693901.0,1.87,-0.27,-0.15,1.34
21,2017-02-08,56.04,56.27,56.5,55.65,73342,98194817.0,1.52,0.41,0.23,1.14
22,2017-02-09,56.08,56.39,57.63,56.08,160261,217531257.0,2.75,0.21,0.12,2.48
23,2017-02-10,56.43,56.62,57.13,56.19,116132,157379448.0,1.67,0.41,0.23,1.8
24,2017-02-13,56.62,56.93,57.01,56.39,106717,145081396.0,1.1,0.55,0.31,1.65
25,2017-02-14,57.01,56.81,57.13,56.58,83947,114289095.0,0.97,-0.21,-0.12,1.3
26,2017-02-15,56.7,56.23,57.01,55.88,165297,223250033.0,1.99,-1.02,-0.58,2.56
27,2017-02-16,56.15,56.43,56.58,55.96,79963,107575314.0,1.1,0.36,0.2,1.24
28,2017-02-17,56.27,54.56,56.35,54.4,152964,201704555.0,3.46,-3.31,-1.87,2.37
29,2017-02-20,54.68,55.26,55.34,54.36,90761,118745635.0,1.8,1.28,0.7,1.41
30,2017-02-21,55.26,56.89,56.93,55.18,161069,216673433.0,3.17,2.95,1.63,2.5
31,2017-02-22,56.81,56.89,57.36,56.39,144537,196653190.0,1.71,0.0,0.0,2.24
32,2017-02-23,57.01,57.36,57.71,56.66,155836,213200376.0,1.85,0.83,0.47,2.42
33,2017-02-24,57.32,57.28,57.32,56.78,86067,117554036.0,0.94,-0.14,-0.08,1.33
34,2017-02-27,57.2,56.62,57.24,56.5,93379,127135954.0,1.29,-1.15,-0.66,1.45
35,2017-02-28,56.5,57.2,57.51,56.43,81380,111183516.0,1.91,1.02,0.58,1.26
36,2017-03-01,57.2,56.97,57.4,56.81,108213,147997678.0,1.03,-0.4,-0.23,1.68
37,2017-03-02,57.09,56.81,57.09,56.7,76347,103957007.0,0.68,-0.28,-0.16,1.18
38,2017-03-03,56.7,57.75,57.86,56.19,146873,201289207.0,2.94,1.65,0.94,2.28
39,2017-03-06,57.59,58.64,59.26,57.48,163493,229046871.0,3.08,1.54,0.89,2.53
40,2017-03-07,58.49,58.56,58.87,57.9,102491,143499504.0,1.65,-0.14,-0.08,1.59
41,2017-03-08,58.6,58.56,59.26,58.33,104290,146948786.0,1.59,0.0,0.0,1.62
42,2017-03-09,58.45,58.6,58.95,58.06,115047,161540623.0,1.52,0.07,0.04,1.78
43,2017-03-10,58.6,60.62,61.25,58.49,326792,472410512.0,4.71,3.45,2.02,5.07
44,2017-03-13,60.7,61.17,61.6,59.96,259169,379593248.0,2.71,0.91,0.55,4.02
