,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2017-01-03,119.7,122.04,122.82,118.92,170894,138671099.0,3.28,2.62,3.12,1.9
1,2017-01-04,121.88,127.49,128.11,121.1,443729,372903952.0,5.74,4.47,5.45,4.94
2,2017-01-05,126.71,127.18,128.74,125.31,174250,147723287.0,2.69,-0.24,-0.31,1.94
3,2017-01-06,126.71,127.49,128.58,125.31,151177,127872313.0,2.57,0.24,0.31,1.68
4,2017-01-09,126.71,125.93,130.45,125.15,196230,166666325.0,4.16,-1.22,-1.56,2.19
5,2017-01-10,126.71,123.44,128.27,122.19,276045,228344329.0,4.83,-1.98,-2.49,3.07
6,2017-01-11,122.66,121.88,123.59,120.63,148845,121272149.0,2.4,-1.26,-1.56,1.66
7,2017-01-12,121.88,117.36,122.82,117.21,137424,109830073.0,4.6,-3.71,-4.52,1.53
8,2017-01-13,117.36,115.02,117.36,112.69,192521,148607441.0,3.98,-1.99,-2.34,2.14
9,2017-01-16,114.87,113.93,116.58,104.12,150945,114677315.0,10.83,-0.95,-1.09,1.68
10,2017-01-17,112.69,114.4,115.02,109.26,80083,60603659.0,5.06,0.41,0.47,0.89
11,2017-01-18,113.47,110.04,113.62,109.42,174474,130350841.0,3.67,-3.81,-4.36,1.94
12,2017-01-19,110.19,107.86,110.51,106.77,212668,154078842.0,3.4,-1.98,-2.18,2.37
13,2017-01-20,107.7,109.42,110.35,107.7,115404,84649110.0,2.46,1.45,1.56,1.29
14,2017-01-23,109.57,112.38,113.62,109.57,155965,117320708.0,3.7,2.71,2.96,1.74
15,2017-01-24,112.22,112.53,113.0,111.44,102925,77431388.0,1.39,0.13,0.15,1.15
16,2017-01-25,111.44,112.06,114.4,111.44,93592,70772098.0,2.63,-0.42,-0.47,1.04
17,2017-01-26,106.92,110.51,111.6,104.9,337781,246014302.0,5.98,-1.38,-1.55,3.76
18,2017-02-03,109.26,113.0,115.96,108.32,186416,139776346.0,6.91,2.25,2.49,2.08
19,2017-02-06,112.38,115.8,115.96,112.38,212068,162207440.0,3.17,2.48,2.8,2.36
20,2017-02-07,115.65,113.78,115.65,112.22,163605,124920158.0,2.96,-1.74,-2.02,1.82
21,2017-02-08,113.47,114.71,115.49,111.13,165009,124820076.0,3.83,0.82,0.93,1.84
22,2017-02-09,114.09,113.47,115.18,112.69,189724,144361137.0,2.17,-1.08,-1.24,2.11
23,2017-02-10,113.16,112.53,113.47,111.44,216608,162933893.0,1.79,-0.83,-0.94,2.41
24,2017-02-13,112.22,115.18,115.34,110.66,355536,269203104.0,4.16,2.35,2.65,3.96
25,2017-02-14,114.25,111.6,115.02,111.13,232573,176171134.0,3.38,-3.11,-3.58,2.59
26,2017-02-15,111.91,109.42,113.16,108.79,276203,205968159.0,3.92,-1.95,-2.18,3.08
27,2017-02-16,109.42,110.51,111.44,108.48,123298,90944272.0,2.71,1.0,1.09,1.37
28,2017-02-17,110.19,110.19,111.44,109.73,110675,81953347.0,1.55,-0.29,-0.32,1.23
29,2017-02-20,110.04,111.29,111.6,110.04,118432,88044841.0,1.42,1.0,1.1,1.32
30,2017-02-21,111.13,111.29,111.44,110.51,130710,97291000.0,0.84,0.0,0.0,1.46
31,2017-02-22,111.29,109.88,111.44,108.64,268313,197173923.0,2.52,-1.27,-1.41,2.99
32,2017-02-23,109.73,108.64,109.88,108.01,168798,123078781.0,1.7,-1.13,-1.24,1.88
33,2017-02-24,108.32,108.17,108.48,106.14,252163,181830689.0,2.15,-0.43,-0.47,2.81
34,2017-02-27,108.64,109.57,110.66,106.46,291196,212310050.0,3.88,1.29,1.4,3.24
35,2017-02-28,108.79,108.79,109.57,108.01,124987,91118156.0,1.42,-0.71,-0.78,1.39
36,2017-03-01,108.79,110.35,110.97,108.17,232247,170942784.0,2.57,1.43,1.56,2.59
37,2017-03-02,110.66,109.57,110.97,109.26,92220,67846817.0,1.55,-0.71,-0.78,1.03
38,2017-03-03,109.1,106.92,109.88,106.77,194508,140677390.0,2.84,-2.42,-2.65,2.17
39,2017-03-06,106.92,107.23,107.86,106.46,187330,134640664.0,1.31,0.29,0.31,2.09
40,2017-03-07,107.39,106.46,107.55,105.83,176665,126458487.0,1.6,-0.72,-0.77,1.97
41,2017-03-08,106.46,105.99,106.77,105.52,132507,94388816.0,1.17,-0.44,-0.47,1.48
42,2017-03-09,105.99,104.12,105.99,103.81,164776,116001239.0,2.06,-1.76,-1.87,1.84
43,2017-03-10,104.12,104.12,105.21,103.96,106273,74651770.0,1.2,0.0,0.0,1.18
44,2017-03-13,104.12,104.9,104.9,103.81,125359,88028895.0,1.05,0.75,0.78,1.4
45,2017-03-14,104.74,104.59,105.52,103.96,101399,71356164.0,1.49,-0.3,-0.31,1.13
46,2017-03-15,104.74,104.27,105.05,103.81,98229,68978871.0,1.19,-0.31,-0.32,1.09
47,2017-03-16,104.27,105.36,105.99,104.12,298715,210740421.0,1.79,1.05,1.09,3.33
48,2017-03-17,107.23,107.55,111.29,107.23,818773,597460976.0,3.85,2.08,2.19,9.12
49,2017-03-20,107.7,107.39,109.1,105.99,308046,221323779.0,2.89,-0.15,-0.16,3.43
50,2017-03-21,107.23,106.14,107.23,105.52,262507,187012694.0,1.59,-1.16,-1.25,2.92
51,2017-03-22,105.83,104.27,105.83,104.12,238837,168046309.0,1.61,-1.76,-1.87,2.66
52,2017-03-23,104.43,102.09,104.9,101.16,416325,287905984.0,3.59,-2.09,-2.18,4.64
53,2017-03-24,101.94,102.4,102.87,101.16,189367,130015149.0,1.67,0.3,0.31,2.11
54,2017-03-27,102.56,102.4,103.03,101.78,137537,94852186.0,1.22,0.0,0.0,1.53
55,2017-03-28,102.56,101.31,102.56,101.31,115420,78973843.0,1.22,-1.06,-1.09,1.29
56,2017-03-29,101.47,101.31,102.56,100.85,159627,109144782.0,1.69,0.0,0.0,1.78
57,2017-03-30,101.16,99.76,101.78,98.82,179746,121208379.0,2.92,-1.53,-1.55,2.0
58,2017-03-31,99.44,99.76,100.07,98.51,166055,111099758.0,1.56,0.0,0.0,1.85
59,2017-04-05,99.76,101.0,101.0,99.76,187711,127157482.0,1.24,1.24,1.24,2.09
60,2017-04-06,100.85,100.53,101.16,100.22,145922,98937034.0,0.93,-0.47,-0.47,1.63
61,2017-04-07,100.53,101.62,102.4,99.91,215952,147373251.0,2.48,1.08,1.09,2.41
62,2017-04-10,101.47,102.25,103.18,101.31,215730,148324537.0,1.84,0.62,0.63,2.4
63,2017-04-11,101.94,102.4,102.87,101.0,163347,112354237.0,1.83,0.15,0.15,1.82
64,2017-04-12,102.09,102.56,103.03,101.62,151991,104856917.0,1.38,0.16,0.16,1.69
65,2017-04-13,102.4,102.56,103.03,101.94,103429,71273112.0,1.06,0.0,0.0,1.15
66,2017-04-14,102.4,100.07,102.56,99.91,144522,98259840.0,2.58,-2.43,-2.49,1.61
67,2017-04-17,99.29,97.89,100.07,97.26,140511,93247211.0,2.81,-2.18,-2.18,1.57
68,2017-04-18,97.73,94.61,98.2,94.46,175460,114105953.0,3.82,-3.35,-3.28,1.95
69,2017-04-19,94.3,91.96,94.61,90.87,251318,156382485.0,3.95,-2.8,-2.65,2.8
70,2017-04-20,92.12,91.03,92.43,89.47,146733,90392610.0,3.22,-1.01,-0.93,1.63
71,2017-04-21,91.03,91.96,92.28,90.87,104478,64823000.0,1.55,1.02,0.93,1.16
72,2017-04-24,91.96,89.47,91.96,89.16,108203,65880789.0,3.04,-2.71,-2.49,1.21
73,2017-04-25,90.09,89.78,90.25,88.85,121690,73872031.0,1.56,0.35,0.31,1.36
74,2017-04-26,89.78,89.94,90.56,89.78,67212,41010065.0,0.87,0.18,0.16,0.75
75,2017-04-27,89.78,91.03,91.5,88.07,134562,81811187.0,3.81,1.21,1.09,1.5
76,2017-04-28,90.87,91.81,92.59,90.56,105121,65132663.0,2.23,0.86,0.78,1.17
77,2017-05-02,91.81,90.87,92.12,90.56,99510,61388690.0,1.7,-1.02,-0.94,1.11
78,2017-05-03,90.56,90.25,91.19,89.78,103481,63387984.0,1.55,-0.68,-0.62,1.15
79,2017-05-04,90.41,90.56,91.65,89.94,121149,74355134.0,1.89,0.34,0.31,1.35
80,2017-05-05,90.09,88.69,90.72,88.38,141939,85754247.0,2.58,-2.06,-1.87,1.58
81,2017-05-08,88.69,88.07,89.32,88.07,94464,56793341.0,1.41,-0.7,-0.62,1.05
82,2017-05-09,88.07,88.85,89.16,87.13,93767,56034781.0,2.3,0.89,0.78,1.04
83,2017-05-10,88.54,87.13,89.32,86.98,92566,55397674.0,2.63,-1.94,-1.72,1.03
84,2017-05-11,87.13,86.51,87.76,84.8,125310,73405357.0,3.4,-0.71,-0.62,1.4
85,2017-05-12,86.67,86.04,86.98,84.95,112017,65617317.0,2.35,-0.54,-0.47,1.25
86,2017-05-15,85.89,86.51,86.67,85.89,72601,42494396.0,0.91,0.55,0.47,0.81
87,2017-05-16,86.36,87.6,87.76,84.02,180245,104973893.0,4.32,1.26,1.09,2.01
88,2017-05-17,87.13,88.07,88.85,86.98,203267,121114588.0,2.13,0.54,0.47,2.26
89,2017-05-18,87.29,87.13,88.07,86.82,100304,59381701.0,1.42,-1.07,-0.94,1.12
90,2017-05-19,86.98,87.13,87.29,86.36,75334,44405630.0,1.07,0.0,0.0,0.84
91,2017-05-22,87.13,85.26,87.29,84.95,114104,66878693.0,2.69,-2.15,-1.87,1.27
92,2017-05-23,85.11,82.3,85.58,81.99,137667,78387019.0,4.21,-3.47,-2.96,1.53
93,2017-05-24,82.15,83.08,83.24,80.9,103212,57830137.0,2.84,0.95,0.78,1.15
94,2017-05-25,83.08,84.17,84.33,81.99,225286,127518644.0,2.82,1.31,1.09,2.51
95,2017-05-26,83.71,83.08,84.33,82.62,174908,99197165.0,2.03,-1.29,-1.09,1.95
96,2017-05-31,83.71,82.62,84.17,82.62,174611,99010680.0,1.87,-0.55,-0.46,1.94
97,2017-06-01,82.3,81.06,82.3,80.9,161015,89466230.0,1.69,-1.89,-1.56,1.79
98,2017-06-02,80.75,81.99,82.3,80.12,126608,69815988.0,2.69,1.15,0.93,1.41
99,2017-06-05,81.84,82.62,82.93,81.68,130610,73229190.0,1.52,0.77,0.63,1.45
100,2017-06-06,82.46,83.55,83.71,81.99,92592,52173318.0,2.08,1.13,0.93,1.03
101,2017-06-07,83.55,84.8,84.95,83.08,166234,95065903.0,2.24,1.5,1.25,1.85
102,2017-06-08,84.64,84.64,85.73,84.17,147528,85148324.0,1.84,-0.19,-0.16,1.64
