,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2017-01-03,187.0,191.22,193.32,185.95,147281,115289727.0,3.96,2.69,5.01,1.09
1,2017-01-04,191.22,191.74,193.06,190.43,76980,60582951.0,1.38,0.27,0.52,0.57
2,2017-01-05,192.27,192.01,193.06,190.95,65502,51522521.0,1.1,0.14,0.27,0.48
3,2017-01-06,191.74,191.74,192.01,190.43,64514,50574430.0,0.82,-0.14,-0.27,0.48
4,2017-01-09,191.74,190.95,192.27,189.64,50935,39890533.0,1.37,-0.41,-0.79,0.38
5,2017-01-10,190.95,191.48,191.74,190.16,41113,32232242.0,0.83,0.28,0.53,0.3
6,2017-01-11,190.95,189.9,193.06,189.64,71847,56344702.0,1.79,-0.83,-1.58,0.53
7,2017-01-12,189.9,185.95,190.16,185.69,54749,42248550.0,2.35,-2.08,-3.95,0.4
8,2017-01-13,185.16,185.16,188.58,185.16,58985,45214555.0,1.84,-0.42,-0.79,0.44
9,2017-01-16,184.37,177.26,185.69,174.1,130053,96327195.0,6.26,-4.27,-7.9,0.96
10,2017-01-17,176.47,177.53,178.84,175.16,61499,44971292.0,2.08,0.15,0.27,0.45
11,2017-01-18,178.32,179.37,180.95,177.26,59880,44336025.0,2.08,1.04,1.84,0.44
12,2017-01-19,179.11,177.53,180.42,177.0,63411,46753821.0,1.91,-1.03,-1.84,0.47
13,2017-01-20,177.53,180.16,180.95,177.53,50117,37057232.0,1.93,1.48,2.63,0.37
14,2017-01-23,179.11,180.42,181.48,178.84,65627,48698644.0,1.47,0.14,0.26,0.48
15,2017-01-24,184.9,188.58,192.27,183.32,193820,150455135.0,4.96,4.52,8.16,1.43
16,2017-01-25,187.27,188.06,190.16,187.0,57883,44784387.0,1.68,-0.28,-0.52,0.43
17,2017-01-26,189.11,188.06,189.11,187.27,44411,34279654.0,0.98,0.0,0.0,0.33
