,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2017-03-15,11.8,14.16,14.16,11.8,51,70988.0,24.01,44.05,4.33,0.02
1,2017-03-16,15.58,15.58,15.58,15.58,14,21905.0,0.0,10.03,1.42,0.01
2,2017-03-17,17.14,17.14,17.14,17.14,15,25710.0,0.0,10.01,1.56,0.01
3,2017-03-20,18.85,18.85,18.85,18.85,60,113100.0,0.0,9.98,1.71,0.03
4,2017-03-21,20.74,20.74,20.74,20.74,5,10370.0,0.0,10.03,1.89,0.0
5,2017-03-22,22.81,22.81,22.81,22.81,60,137065.0,0.0,9.98,2.07,0.03
6,2017-03-23,25.09,25.09,25.09,25.09,17,42653.0,0.0,10.0,2.28,0.01
7,2017-03-24,27.6,27.6,27.6,27.6,39,108219.0,0.0,10.0,2.51,0.02
8,2017-03-27,30.36,30.36,30.36,30.36,121,367356.0,0.0,10.0,2.76,0.06
9,2017-03-28,33.4,33.4,33.4,33.4,170,567800.0,0.0,10.01,3.04,0.08
10,2017-03-29,36.74,36.74,36.74,36.74,151,554590.0,0.0,10.0,3.34,0.07
11,2017-03-30,40.41,40.41,40.41,40.41,1965,7939554.0,0.0,9.99,3.67,0.92
12,2017-03-31,44.45,44.45,44.45,44.45,2124,9439313.0,0.0,10.0,4.04,0.99
13,2017-04-05,46.15,45.9,48.89,42.5,128214,580299952.0,14.38,3.26,1.45,59.77
14,2017-04-06,45.02,48.8,49.8,44.5,118064,557991408.0,11.55,6.32,2.9,55.04
15,2017-04-07,48.0,45.4,48.38,44.8,84121,391129808.0,7.34,-6.97,-3.4,39.22
16,2017-04-10,44.4,40.95,44.95,40.86,70617,302797760.0,9.01,-9.8,-4.45,32.92
17,2017-04-11,40.46,43.13,43.56,40.46,59500,251427408.0,7.57,5.32,2.18,27.74
18,2017-04-12,42.34,41.69,43.78,41.52,44648,189455268.0,5.24,-3.34,-1.44,20.81
19,2017-04-13,41.26,41.18,42.79,41.04,29144,122080634.0,4.2,-1.22,-0.51,13.59
20,2017-04-14,40.59,40.04,41.0,39.88,30688,123916377.0,2.72,-2.77,-1.14,14.31
21,2017-04-17,38.55,37.73,38.8,36.22,39514,148880089.0,6.44,-5.77,-2.31,18.42
22,2017-04-18,37.95,37.18,38.39,37.05,15845,60014556.0,3.55,-1.46,-0.55,7.39
23,2017-04-19,37.3,38.49,38.99,37.08,21020,79694857.0,5.14,3.52,1.31,9.8
24,2017-04-20,38.3,37.0,38.33,36.3,21803,81058692.0,5.27,-3.87,-1.49,10.16
