,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2017-01-03,42.76,43.22,43.22,42.55,45363,36958808.0,1.57,1.34,0.57,1.02
1,2017-01-04,43.07,43.8,43.85,43.07,40604,33464782.0,1.8,1.34,0.58,0.91
2,2017-01-05,43.69,44.06,44.16,43.49,42951,35722829.0,1.53,0.59,0.26,0.97
3,2017-01-06,44.06,43.95,44.32,43.8,43674,36468251.0,1.18,-0.25,-0.11,0.98
4,2017-01-09,43.95,44.16,44.21,43.33,36022,29907876.0,2.0,0.48,0.21,0.81
5,2017-01-10,44.01,44.11,44.58,43.85,36954,31011437.0,1.65,-0.11,-0.05,0.83
6,2017-01-11,44.06,43.64,44.58,43.64,30994,25842274.0,2.13,-1.07,-0.47,0.7
7,2017-01-12,43.64,43.22,44.11,43.07,32400,26824261.0,2.38,-0.96,-0.42,0.73
8,2017-01-13,43.07,43.01,43.85,43.01,44513,36691456.0,1.94,-0.49,-0.21,1.0
9,2017-01-16,43.01,40.16,43.43,38.81,62622,48555572.0,10.74,-6.63,-2.85,1.41
10,2017-01-17,40.26,40.68,41.09,39.69,33712,25737757.0,3.49,1.29,0.52,0.76
11,2017-01-18,40.68,40.57,40.89,40.42,23304,17943687.0,1.16,-0.27,-0.11,0.52
12,2017-01-19,40.31,40.42,40.63,39.53,22627,17247668.0,2.71,-0.37,-0.15,0.51
13,2017-01-20,40.42,41.61,41.87,39.9,37913,29575292.0,4.87,2.94,1.19,0.85
14,2017-01-23,41.61,42.86,43.28,41.51,50864,41247330.0,4.25,3.0,1.25,1.14
15,2017-01-24,42.86,43.75,43.85,42.76,51826,42714765.0,2.54,2.08,0.89,1.16
16,2017-01-25,43.75,43.59,43.75,43.12,35331,29111458.0,1.44,-0.37,-0.16,0.79
17,2017-01-26,43.59,43.64,44.01,43.33,25610,21162593.0,1.56,0.11,0.05,0.58
18,2017-02-03,43.59,43.69,43.95,43.33,29547,24423046.0,1.42,0.11,0.05,0.66
19,2017-02-06,43.64,43.75,43.8,43.33,41892,34595534.0,1.08,0.14,0.06,0.94
20,2017-02-07,43.69,44.01,44.37,43.59,56745,47403536.0,1.78,0.59,0.26,1.28
21,2017-02-08,43.85,44.27,44.42,43.8,39952,33428579.0,1.41,0.59,0.26,0.9
22,2017-02-09,44.53,44.21,44.53,44.06,33683,28243327.0,1.06,-0.14,-0.06,0.76
23,2017-02-10,44.27,43.9,44.42,43.69,36531,30451635.0,1.65,-0.7,-0.31,0.82
24,2017-02-13,43.95,44.37,44.68,43.9,46772,39328566.0,1.78,1.07,0.47,1.05
25,2017-02-14,44.32,43.8,44.32,43.69,29572,24646604.0,1.42,-1.28,-0.57,0.66
26,2017-02-15,43.85,43.33,44.32,43.07,36503,30309499.0,2.85,-1.07,-0.47,0.82
27,2017-02-16,43.12,43.59,43.8,43.07,43325,35601602.0,1.68,0.6,0.26,0.97
28,2017-02-17,43.43,43.33,44.21,43.17,40467,33475544.0,2.39,-0.6,-0.26,0.91
29,2017-02-20,43.8,43.22,43.9,42.8,61672,50425578.0,2.54,-0.25,-0.11,1.39
30,2017-02-21,43.17,43.33,43.59,43.07,60011,49286538.0,1.2,0.25,0.11,1.35
