,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-12-28,22.36,24.32,26.83,22.36,203206,509681424.0,23.99,30.54,5.69,39.87
1,2020-12-29,21.89,21.89,23.69,21.89,74648,164928600.0,7.4,-9.99,-2.43,14.65
2,2020-12-30,19.9,20.27,20.8,19.88,149337,302563232.0,4.2,-7.4,-1.62,29.3
3,2020-12-31,20.0,19.97,20.55,19.92,108401,218446212.0,3.11,-1.48,-0.3,21.27
4,2021-01-04,19.9,19.59,19.9,19.29,86103,168330995.0,3.05,-1.9,-0.38,16.89
5,2021-01-05,19.6,20.04,20.32,19.59,90263,180600002.0,3.73,2.3,0.45,17.71
6,2021-01-06,20.05,20.49,20.97,19.68,99301,203673661.0,6.44,2.25,0.45,19.48
7,2021-01-07,20.15,18.99,20.25,18.91,95585,185505673.0,6.54,-7.32,-1.5,18.75
8,2021-01-08,18.98,19.06,19.35,18.08,49016,92451955.0,6.69,0.37,0.07,9.62
9,2021-01-11,19.0,18.31,19.08,18.12,52552,97506397.0,5.04,-3.93,-0.75,10.31
10,2021-01-12,18.26,18.71,19.11,18.25,41391,77696588.0,4.7,2.18,0.4,8.12
11,2021-01-13,18.97,18.41,18.97,18.31,34738,64249236.0,3.53,-1.6,-0.3,6.82
12,2021-01-14,18.32,18.68,18.94,18.26,37399,69614675.0,3.69,1.47,0.27,7.34
13,2021-01-15,18.66,19.66,20.18,18.42,73823,144133545.0,9.42,5.25,0.98,14.48
14,2021-01-18,19.4,19.68,20.3,19.4,59822,118421438.0,4.58,0.1,0.02,11.74
15,2021-01-19,19.52,19.17,19.84,19.0,47896,93133597.0,4.27,-2.59,-0.51,9.4
16,2021-01-20,19.1,18.93,19.1,18.79,34145,64581352.0,1.62,-1.25,-0.24,6.7
17,2021-01-21,19.0,19.21,19.59,18.8,39961,76929285.0,4.17,1.48,0.28,7.84
18,2021-01-22,19.08,18.75,19.22,18.63,36591,68788810.0,3.07,-2.39,-0.46,7.18
19,2021-01-25,18.58,19.55,19.55,18.5,50021,95452173.0,5.6,4.27,0.8,9.81
20,2021-01-26,19.4,19.83,20.08,19.29,69440,136848978.0,4.04,1.43,0.28,13.62
21,2021-01-27,19.55,19.65,19.86,19.15,48393,94478865.0,3.58,-0.91,-0.18,9.5
22,2021-01-28,20.0,19.7,21.05,19.5,65712,132570792.0,7.89,0.25,0.05,12.89
23,2021-01-29,19.38,18.99,19.63,18.8,44477,85034068.0,4.21,-3.6,-0.71,8.73
24,2021-02-01,18.98,20.01,20.25,18.73,61671,120013088.0,8.0,5.37,1.02,12.1
25,2021-02-02,19.9,19.82,20.3,19.52,44368,88160573.0,3.9,-0.95,-0.19,8.71
26,2021-02-03,19.66,19.31,19.79,19.27,34227,66511675.0,2.62,-2.57,-0.51,6.72
27,2021-02-04,19.2,19.07,19.26,18.71,31879,60508816.0,2.85,-1.24,-0.24,6.25
28,2021-02-05,19.1,19.15,19.46,18.86,32618,62532270.0,3.15,0.42,0.08,6.4
29,2021-02-08,19.16,18.5,19.25,18.45,34051,63687058.0,4.18,-3.39,-0.65,6.68
30,2021-02-09,18.45,18.55,18.69,18.3,21936,40696677.0,2.11,0.27,0.05,4.3
31,2021-02-10,18.6,18.5,18.72,18.49,18418,34195839.0,1.24,-0.27,-0.05,3.61
32,2021-02-18,18.62,18.95,19.07,18.59,25607,48324022.0,2.59,2.43,0.45,5.02
33,2021-02-19,18.96,19.47,19.48,18.78,35358,67861483.0,3.69,2.74,0.52,6.94
34,2021-02-22,19.49,19.53,20.1,19.37,51440,101390239.0,3.75,0.31,0.06,10.09
35,2021-02-23,19.6,20.25,20.69,19.37,77696,157235526.0,6.76,3.69,0.72,15.24
36,2021-02-24,20.2,19.97,20.68,19.63,53044,106912910.0,5.19,-1.38,-0.28,10.41
37,2021-02-25,20.01,19.41,20.15,19.27,42528,83144953.0,4.41,-2.8,-0.56,8.34
38,2021-02-26,19.1,19.55,19.78,18.92,30851,60092913.0,4.43,0.72,0.14,6.05
39,2021-03-01,19.57,20.55,20.61,19.5,63140,128297804.0,5.68,5.12,1.0,12.39
40,2021-03-02,20.37,20.21,20.64,19.98,48376,97784075.0,3.21,-1.65,-0.34,9.49
41,2021-03-03,20.17,21.09,21.79,20.17,79993,168114038.0,8.02,4.35,0.88,15.7
42,2021-03-04,20.88,20.73,21.29,20.68,50880,106445079.0,2.89,-1.71,-0.36,9.98
43,2021-03-05,20.66,20.47,20.99,20.29,38719,79649799.0,3.38,-1.25,-0.26,7.6
44,2021-03-08,20.52,19.93,20.76,19.9,38491,78333046.0,4.2,-2.64,-0.54,7.55
45,2021-03-09,19.94,19.42,20.07,19.0,35000,68561281.0,5.37,-2.56,-0.51,6.87
46,2021-03-10,19.78,19.29,19.85,19.1,23082,44607744.0,3.86,-0.67,-0.13,4.53
47,2021-03-11,19.33,19.6,19.67,19.22,23135,45150648.0,2.33,1.61,0.31,4.54
48,2021-03-12,19.6,19.23,19.65,19.11,26761,51591721.0,2.76,-1.89,-0.37,5.25
49,2021-03-15,19.16,19.46,19.5,19.16,20247,39122049.0,1.77,1.2,0.23,3.97
50,2021-03-16,19.47,19.43,19.51,19.19,20237,39144516.0,1.64,-0.15,-0.03,3.97
51,2021-03-17,19.35,19.61,19.68,19.29,21550,42040024.0,2.01,0.93,0.18,4.23
52,2021-03-18,19.57,20.34,20.51,19.46,57321,115350591.0,5.35,3.72,0.73,11.25
53,2021-03-19,20.09,20.22,20.47,20.01,41992,84916445.0,2.26,-0.59,-0.12,8.24
54,2021-03-22,20.31,20.44,20.87,20.23,43601,89538871.0,3.17,1.09,0.22,8.55
55,2021-03-23,20.44,20.09,20.44,19.78,34990,70279923.0,3.23,-1.71,-0.35,6.87
56,2021-03-24,19.99,20.51,20.65,19.91,45889,93604812.0,3.68,2.09,0.42,9.0
57,2021-03-25,20.5,20.44,20.66,20.08,32689,66500282.0,2.83,-0.34,-0.07,6.41
58,2021-03-26,20.3,20.73,21.75,20.17,62218,130339896.0,7.73,1.42,0.29,12.21
59,2021-03-29,20.8,21.85,22.75,20.63,108169,234044775.0,10.23,5.4,1.12,21.22
60,2021-03-30,21.59,20.74,21.59,20.64,68082,143526262.0,4.35,-5.08,-1.11,13.36
61,2021-03-31,20.74,20.86,21.18,20.64,38590,80789892.0,2.6,0.58,0.12,7.57
62,2021-04-01,20.92,20.54,21.12,20.4,34194,70497543.0,3.45,-1.53,-0.32,6.71
63,2021-04-02,20.72,21.16,21.39,20.55,39446,82974286.0,4.09,3.02,0.62,7.74
64,2021-04-06,21.15,21.28,21.49,20.92,37887,80609686.0,2.69,0.57,0.12,7.43
65,2021-04-07,21.27,22.02,22.22,21.11,61534,134210037.0,5.22,3.48,0.74,12.07
66,2021-04-08,21.88,21.52,22.23,21.5,52482,114718323.0,3.32,-2.27,-0.5,10.3
67,2021-04-09,21.58,22.54,22.86,21.58,66297,147557456.0,5.95,4.74,1.02,13.01
68,2021-04-12,23.0,22.61,23.36,21.95,75692,170678433.0,6.26,0.31,0.07,14.85
69,2021-04-13,22.29,21.61,22.54,21.6,43336,94934090.0,4.16,-4.42,-1.0,8.5
70,2021-04-14,21.66,22.25,22.5,21.31,36339,80067306.0,5.51,2.96,0.64,7.13
71,2021-04-15,22.15,22.02,22.34,21.56,31541,69151861.0,3.51,-1.03,-0.23,6.19
72,2021-04-16,22.9,22.76,23.36,22.37,66525,151759394.0,4.5,3.36,0.74,13.05
73,2021-04-19,22.61,22.58,23.1,22.49,47480,107662652.0,2.68,-0.79,-0.18,9.32
74,2021-04-20,22.59,22.41,23.08,22.38,46017,104480124.0,3.1,-0.75,-0.17,9.03
75,2021-04-21,22.32,23.46,23.86,22.1,69580,160506027.0,7.85,4.69,1.05,13.65
76,2021-04-22,23.88,23.42,24.12,23.23,64130,151654638.0,3.79,-0.17,-0.04,12.58
